dataset,source_url,local_path,bytes,sha256,retrieved_at_utc,release_expected_bytes,release_expected_sha256,release_snapshot_match
FIA Michigan SQLite archive,https://apps.fs.usda.gov/fia/datamart/Databases/SQLite_FIADB_MI.zip,data/raw/fia/SQLite_FIADB_MI.zip,1180933421,2c1eb908a47436d4edd0f3ba9e3d647b79a4f36cef972c5ba83277300817aee1,2026-08-27 02:54:45 UTC,1180933421,2c1eb908a47436d4edd0f3ba9e3d647b79a4f36cef972c5ba83277300817aee1,TRUE
US Census county gazetteer,https://www2.census.gov/geo/docs/maps-data/data/gazetteer/2025_Gazetteer/2025_Gaz_counties_national.zip,data/raw/boundaries/2025_Gaz_counties_national.zip,138993,4c90d0f805779923b5958ab13d0c1e9b99fe4932b786bfcf75dd739bb2dcb4ea,2026-08-27 03:09:00 UTC,138993,4c90d0f805779923b5958ab13d0c1e9b99fe4932b786bfcf75dd739bb2dcb4ea,TRUE
Daymet county internal-point series 26001,"https://daymet.ornl.gov/single-pixel/api/data?lat=44.657509&lon=-83.294580&vars=tmin,tmax,prcp&years=1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020",data/raw/climate/daymet-single-pixel/daymet_26001_1991_2020.csv,277677,065f12089725e7c945f211e636102e1d5c21582edf278f5d34d53d2f0a9c0833,2026-08-27 03:09:39 UTC,NA,NA,NA
Daymet county internal-point series 26003,"https://daymet.ornl.gov/single-pixel/api/data?lat=46.521736&lon=-86.657119&vars=tmin,tmax,prcp&years=1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020",data/raw/climate/daymet-single-pixel/daymet_26003_1991_2020.csv,278226,05c339d6e9d9b471bdd6156f046b39de5e5d19d85b747cff7f7351f5907c1c3e,2026-08-27 03:09:41 UTC,NA,NA,NA
Daymet county internal-point series 26005,"https://daymet.ornl.gov/single-pixel/api/data?lat=42.421251&lon=-86.261403&vars=tmin,tmax,prcp&years=1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020",data/raw/climate/daymet-single-pixel/daymet_26005_1991_2020.csv,277433,c8c70781f8b624ebb49b620e5b810e3e962cf92d962c058bf403ebe549b33bd7,2026-08-27 03:09:41 UTC,NA,NA,NA
Daymet county internal-point series 26007,"https://daymet.ornl.gov/single-pixel/api/data?lat=44.894954&lon=-83.426574&vars=tmin,tmax,prcp&years=1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020",data/raw/climate/daymet-single-pixel/daymet_26007_1991_2020.csv,277714,1ed6d251673be9e81d67a18dc0682a76c796009ddb1078c3eb84193eb6429985,2026-08-27 03:09:42 UTC,NA,NA,NA
Daymet county internal-point series 26009,"https://daymet.ornl.gov/single-pixel/api/data?lat=45.005455&lon=-85.175639&vars=tmin,tmax,prcp&years=1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020",data/raw/climate/daymet-single-pixel/daymet_26009_1991_2020.csv,277788,8751ae1a7836e72a70f7674822f264a2b77b1070da548a263d21571627c266a1,2026-08-27 03:09:43 UTC,NA,NA,NA
Daymet county internal-point series 26011,"https://daymet.ornl.gov/single-pixel/api/data?lat=44.036833&lon=-83.740675&vars=tmin,tmax,prcp&years=1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020",data/raw/climate/daymet-single-pixel/daymet_26011_1991_2020.csv,277783,abb604fd4489dbdacb4212ba0af8e4c656bb2f0b849c3fae60387ab679390aa1,2026-08-27 03:09:44 UTC,NA,NA,NA
Daymet county internal-point series 26013,"https://daymet.ornl.gov/single-pixel/api/data?lat=46.695859&lon=-88.361810&vars=tmin,tmax,prcp&years=1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020",data/raw/climate/daymet-single-pixel/daymet_26013_1991_2020.csv,279871,4025fe1311d17112e6f64285f71e531a4c40d6eaa1f4e3c4e1e0b5d0e881a8a4,2026-08-27 03:09:50 UTC,NA,NA,NA
Daymet county internal-point series 26015,"https://daymet.ornl.gov/single-pixel/api/data?lat=42.582811&lon=-85.314550&vars=tmin,tmax,prcp&years=1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020",data/raw/climate/daymet-single-pixel/daymet_26015_1991_2020.csv,277978,2638e71c38a00f1d4a66ff2de1eab4675eae7a4f44d51e9fff17a29cbe481379,2026-08-27 03:09:51 UTC,NA,NA,NA
