geoid,county_name,baseline_measyear,first_season,last_season,january_shift,required_seasons,conditions,physical_plots,all_required_reports_available,spatial_join_approved,limitation
26001,Alcona,2013,2010,2012,FALSE,2010;2011;2012,2,2,TRUE,FALSE,"Report-year coverage, not matched DMU exposure; historical boundaries and report release timing unresolved"
26001,Alcona,2015,2012,2014,FALSE,2012;2013;2014,2,2,TRUE,FALSE,"Report-year coverage, not matched DMU exposure; historical boundaries and report release timing unresolved"
26001,Alcona,2017,2014,2016,FALSE,2014;2015;2016,1,1,TRUE,FALSE,"Report-year coverage, not matched DMU exposure; historical boundaries and report release timing unresolved"
26001,Alcona,2018,2014,2016,TRUE,2014;2015;2016,1,1,TRUE,FALSE,"Report-year coverage, not matched DMU exposure; historical boundaries and report release timing unresolved"
26003,Alger,2012,2009,2011,FALSE,2009;2010;2011,11,10,TRUE,FALSE,"Report-year coverage, not matched DMU exposure; historical boundaries and report release timing unresolved"
26003,Alger,2013,2010,2012,FALSE,2010;2011;2012,12,11,TRUE,FALSE,"Report-year coverage, not matched DMU exposure; historical boundaries and report release timing unresolved"
26003,Alger,2014,2011,2013,FALSE,2011;2012;2013,17,16,TRUE,FALSE,"Report-year coverage, not matched DMU exposure; historical boundaries and report release timing unresolved"
26003,Alger,2015,2011,2013,TRUE,2011;2012;2013,1,1,TRUE,FALSE,"Report-year coverage, not matched DMU exposure; historical boundaries and report release timing unresolved"
26003,Alger,2015,2012,2014,FALSE,2012;2013;2014,11,11,TRUE,FALSE,"Report-year coverage, not matched DMU exposure; historical boundaries and report release timing unresolved"
26003,Alger,2016,2013,2015,FALSE,2013;2014;2015,5,5,TRUE,FALSE,"Report-year coverage, not matched DMU exposure; historical boundaries and report release timing unresolved"
26003,Alger,2017,2014,2016,FALSE,2014;2015;2016,8,8,TRUE,FALSE,"Report-year coverage, not matched DMU exposure; historical boundaries and report release timing unresolved"
26003,Alger,2018,2015,2017,FALSE,2015;2016;2017,9,9,TRUE,FALSE,"Report-year coverage, not matched DMU exposure; historical boundaries and report release timing unresolved"
26005,Allegan,2015,2012,2014,FALSE,2012;2013;2014,1,1,TRUE,FALSE,"Report-year coverage, not matched DMU exposure; historical boundaries and report release timing unresolved"
26007,Alpena,2013,2010,2012,FALSE,2010;2011;2012,1,1,TRUE,FALSE,"Report-year coverage, not matched DMU exposure; historical boundaries and report release timing unresolved"
26009,Antrim,2012,2009,2011,FALSE,2009;2010;2011,1,1,TRUE,FALSE,"Report-year coverage, not matched DMU exposure; historical boundaries and report release timing unresolved"
26009,Antrim,2013,2010,2012,FALSE,2010;2011;2012,3,3,TRUE,FALSE,"Report-year coverage, not matched DMU exposure; historical boundaries and report release timing unresolved"
26009,Antrim,2014,2011,2013,FALSE,2011;2012;2013,2,2,TRUE,FALSE,"Report-year coverage, not matched DMU exposure; historical boundaries and report release timing unresolved"
26009,Antrim,2015,2012,2014,FALSE,2012;2013;2014,1,1,TRUE,FALSE,"Report-year coverage, not matched DMU exposure; historical boundaries and report release timing unresolved"
26009,Antrim,2016,2013,2015,FALSE,2013;2014;2015,3,3,TRUE,FALSE,"Report-year coverage, not matched DMU exposure; historical boundaries and report release timing unresolved"
26009,Antrim,2017,2014,2016,FALSE,2014;2015;2016,2,2,TRUE,FALSE,"Report-year coverage, not matched DMU exposure; historical boundaries and report release timing unresolved"
26013,Baraga,2011,2008,2010,FALSE,2008;2009;2010,3,3,TRUE,FALSE,"Report-year coverage, not matched DMU exposure; historical boundaries and report release timing unresolved"
26013,Baraga,2012,2009,2011,FALSE,2009;2010;2011,10,10,TRUE,FALSE,"Report-year coverage, not matched DMU exposure; historical boundaries and report release timing unresolved"
26013,Baraga,2013,2010,2012,FALSE,2010;2011;2012,6,6,TRUE,FALSE,"Report-year coverage, not matched DMU exposure; historical boundaries and report release timing unresolved"
26013,Baraga,2014,2011,2013,FALSE,2011;2012;2013,9,9,TRUE,FALSE,"Report-year coverage, not matched DMU exposure; historical boundaries and report release timing unresolved"
26013,Baraga,2015,2012,2014,FALSE,2012;2013;2014,10,10,TRUE,FALSE,"Report-year coverage, not matched DMU exposure; historical boundaries and report release timing unresolved"
26013,Baraga,2016,2013,2015,FALSE,2013;2014;2015,8,8,TRUE,FALSE,"Report-year coverage, not matched DMU exposure; historical boundaries and report release timing unresolved"
26013,Baraga,2017,2014,2016,FALSE,2014;2015;2016,3,3,TRUE,FALSE,"Report-year coverage, not matched DMU exposure; historical boundaries and report release timing unresolved"
26013,Baraga,2018,2015,2017,FALSE,2015;2016;2017,4,4,TRUE,FALSE,"Report-year coverage, not matched DMU exposure; historical boundaries and report release timing unresolved"
26015,Barry,2013,2010,2012,FALSE,2010;2011;2012,1,1,TRUE,FALSE,"Report-year coverage, not matched DMU exposure; historical boundaries and report release timing unresolved"
26015,Barry,2017,2014,2016,FALSE,2014;2015;2016,1,1,TRUE,FALSE,"Report-year coverage, not matched DMU exposure; historical boundaries and report release timing unresolved"
