source_id,kind,season_year,landing_url,download_url,local_path,original_filename,sha256,bytes,status,verification_utc,access_route,rights_note
dryad-2316460,stand-data-or-documentation,,https://doi.org/10.5061/dryad.612jm647z,https://datadryad.org/downloads/file_stream/2316460,data/raw/external/dryad-612jm647z-v2/NH_speciesdiversity_keyREADME_final.csv,NH_speciesdiversity_keyREADME_final.csv,2425a1637554f3400c76fa77141a19ee1f039ec12ac7d8ed1514267d94526f89,3092,downloaded_checksum_verified,2026-09-10T13:49:54.648970+00:00,public browser download,"CC0; dataset version 2, API version ID 237141"
dryad-2316461,stand-data-or-documentation,,https://doi.org/10.5061/dryad.612jm647z,https://datadryad.org/downloads/file_stream/2316461,data/raw/external/dryad-612jm647z-v2/NH_speciesdiversity.csv,NH_speciesdiversity.csv,114a7e6f37d468cfb59f448ad242a6b1d3c156b925de499a4c4f75bcb50807a3,67652,downloaded_checksum_verified,2026-09-10T13:49:54.648970+00:00,public browser download,"CC0; dataset version 2, API version ID 237141"
dryad-2316462,stand-data-or-documentation,,https://doi.org/10.5061/dryad.612jm647z,https://datadryad.org/downloads/file_stream/2316462,data/raw/external/dryad-612jm647z-v2/README.md,README.md,718ee9c1a37ec6daf519144ec7603a34803c081d183a3b90261f9578f8f99a40,2020,downloaded_checksum_verified,2026-09-10T13:49:54.648970+00:00,public browser download,"CC0; dataset version 2, API version ID 237141"
mi-deer-2008,dnr-harvest-survey-pdf,2008,https://michigan.access.preservica.com/uncategorized/IO_9047f2f1-14dd-48d1-a6a8-d9f9b0239474/,https://michigan.access.preservica.com/download/file/IO_9047f2f1-14dd-48d1-a6a8-d9f9b0239474,data/raw/external/michigan-deer-harvest/mi-deer-harvest-2008.pdf,1246.pdf,f10fa30dc46434c962d390f020c9015d334beb9b238d73f278dc8a3b504d68f8,487622,downloaded_identity_verified,2026-09-10T13:49:54.648970+00:00,Archives of Michigan public browser download,"Archive asks contact for permission to publish; retain raw source locally, do not redistribute PDF"
mi-deer-2009,dnr-harvest-survey-pdf,2009,https://michigan.access.preservica.com/uncategorized/IO_39e48252-eafc-4eb1-9de2-a1f6b9728808/,https://michigan.access.preservica.com/download/file/IO_39e48252-eafc-4eb1-9de2-a1f6b9728808,data/raw/external/michigan-deer-harvest/mi-deer-harvest-2009.pdf,1581.pdf,66d5ea3e31005c3db90beefb7d8603b2d3cadc740aa14d77ec0ab4c627d5d965,748217,downloaded_identity_verified,2026-09-10T13:49:54.648970+00:00,Archives of Michigan public browser download,"Archive asks contact for permission to publish; retain raw source locally, do not redistribute PDF"
mi-deer-2010,dnr-harvest-survey-pdf,2010,https://michigan.access.preservica.com/uncategorized/IO_37e3dc5e-91d8-4a77-95d5-e5940deb3eaf/,https://michigan.access.preservica.com/download/file/IO_37e3dc5e-91d8-4a77-95d5-e5940deb3eaf,data/raw/external/michigan-deer-harvest/mi-deer-harvest-2010.pdf,1917.pdf,0de3bbc962ab1c74a1a8e731617b791411e820dff06dd35ed489c371faf531e2,698973,downloaded_identity_verified,2026-09-10T13:49:54.648970+00:00,Archives of Michigan public browser download,"Archive asks contact for permission to publish; retain raw source locally, do not redistribute PDF"
mi-deer-2011,dnr-harvest-survey-pdf,2011,https://michigan.access.preservica.com/uncategorized/IO_16e76823-e237-415d-aac4-e12bed43c4d2/,https://michigan.access.preservica.com/download/file/IO_16e76823-e237-415d-aac4-e12bed43c4d2,data/raw/external/michigan-deer-harvest/mi-deer-harvest-2011.pdf,2484.pdf,1c8a34b20e0e5e259a0c48dad63ff5d891332c171ac7d28ddc063f8bb049a7e4,732581,downloaded_identity_verified,2026-09-10T13:49:54.648970+00:00,Archives of Michigan public browser download,"Archive asks contact for permission to publish; retain raw source locally, do not redistribute PDF"
mi-deer-2012,dnr-harvest-survey-pdf,2012,https://michigan.access.preservica.com/uncategorized/IO_482e72e6-cac9-4227-b160-233ddf20fb09/,https://michigan.access.preservica.com/download/file/IO_482e72e6-cac9-4227-b160-233ddf20fb09,data/raw/external/michigan-deer-harvest/mi-deer-harvest-2012.pdf,3501.pdf,bde3977d2bec559665f102f5192f7f20d03e0967c8ac35fcd1bd182d9b2384ff,851825,downloaded_identity_verified,2026-09-10T13:49:54.648970+00:00,Archives of Michigan public browser download,"Archive asks contact for permission to publish; retain raw source locally, do not redistribute PDF"
mi-deer-2013,dnr-harvest-survey-pdf,2013,https://michigan.access.preservica.com/uncategorized/IO_8979d49b-e1fa-4de0-adac-ee1e9ea1b33d/,https://michigan.access.preservica.com/download/file/IO_8979d49b-e1fa-4de0-adac-ee1e9ea1b33d,data/raw/external/michigan-deer-harvest/mi-deer-harvest-2013.pdf,3728.pdf,001a57514262ce3c421a60404262f81186ef28773c5db83dde98aa1473436278,676177,downloaded_identity_verified,2026-09-10T13:49:54.648970+00:00,Archives of Michigan public browser download,"Archive asks contact for permission to publish; retain raw source locally, do not redistribute PDF"
mi-deer-2014,dnr-harvest-survey-pdf,2014,https://michigan.access.preservica.com/uncategorized/IO_1ab0b273-a3f3-47a7-a7f4-acdff1d85f51/,https://michigan.access.preservica.com/download/file/IO_1ab0b273-a3f3-47a7-a7f4-acdff1d85f51,data/raw/external/michigan-deer-harvest/mi-deer-harvest-2014.pdf,17843.pdf,072ac88844de92d4f341b596e205aad6e2423067b9f1af10fa586053a42835cf,1086756,downloaded_identity_verified,2026-09-10T13:49:54.648970+00:00,Archives of Michigan public browser download,"Archive asks contact for permission to publish; retain raw source locally, do not redistribute PDF"
