baseline_seedling_count,recruitment_eligible,outcome_recruitment,condition_intervals
0,FALSE,NA,5
0,TRUE,0,250
1,TRUE,0,81
1,TRUE,1,1
2,TRUE,0,42
2,TRUE,1,2
3,TRUE,0,29
3,TRUE,1,2
4,TRUE,0,30
4,TRUE,1,3
5,TRUE,0,20
5,TRUE,1,1
6,TRUE,0,21
6,TRUE,1,3
7,TRUE,0,17
8,TRUE,0,7
8,TRUE,1,1
9,TRUE,0,13
9,TRUE,1,1
10,TRUE,0,21
11,TRUE,0,14
11,TRUE,1,1
12,FALSE,NA,1
12,TRUE,0,12
13,TRUE,0,8
13,TRUE,1,1
14,TRUE,0,11
14,TRUE,1,2
15,TRUE,0,9
15,TRUE,1,3
16,TRUE,0,10
16,TRUE,1,3
17,TRUE,0,4
18,FALSE,NA,1
18,TRUE,0,5
18,TRUE,1,1
19,TRUE,0,4
19,TRUE,1,2
20,TRUE,0,6
20,TRUE,1,1
21,TRUE,0,4
21,TRUE,1,3
22,TRUE,0,4
22,TRUE,1,1
23,TRUE,0,6
23,TRUE,1,1
24,FALSE,NA,1
24,TRUE,0,6
25,TRUE,0,6
25,TRUE,1,2
26,TRUE,0,6
27,TRUE,0,4
27,TRUE,1,1
28,TRUE,0,5
28,TRUE,1,1
29,TRUE,0,3
29,TRUE,1,2
30,TRUE,0,4
30,TRUE,1,2
31,TRUE,0,6
31,TRUE,1,3
32,TRUE,0,5
33,TRUE,0,3
34,TRUE,0,2
34,TRUE,1,3
35,TRUE,0,3
35,TRUE,1,2
36,TRUE,0,1
36,TRUE,1,1
37,TRUE,1,1
38,TRUE,0,3
38,TRUE,1,2
39,TRUE,0,4
39,TRUE,1,1
40,TRUE,0,3
40,TRUE,1,2
41,TRUE,0,1
41,TRUE,1,1
42,TRUE,0,1
43,TRUE,0,1
43,TRUE,1,2
44,TRUE,0,6
44,TRUE,1,1
45,TRUE,0,3
45,TRUE,1,1
46,TRUE,0,1
47,TRUE,0,5
48,TRUE,0,3
48,TRUE,1,2
50,TRUE,0,3
50,TRUE,1,1
51,TRUE,0,1
52,TRUE,0,1
53,TRUE,0,1
54,TRUE,0,5
54,TRUE,1,3
55,FALSE,NA,1
55,TRUE,0,1
56,TRUE,0,5
56,TRUE,1,1
57,TRUE,0,2
58,TRUE,0,2
58,TRUE,1,1
59,TRUE,0,2
60,FALSE,NA,1
60,TRUE,0,3
61,TRUE,0,3
62,TRUE,0,1
62,TRUE,1,1
63,TRUE,0,4
64,TRUE,1,1
65,TRUE,0,3
65,TRUE,1,3
66,TRUE,0,3
67,TRUE,0,1
68,TRUE,1,2
69,TRUE,0,1
69,TRUE,1,1
70,TRUE,0,1
70,TRUE,1,1
71,TRUE,0,2
72,TRUE,0,1
74,TRUE,0,2
75,TRUE,0,2
76,TRUE,0,1
76,TRUE,1,1
77,TRUE,0,4
78,TRUE,0,3
79,TRUE,1,1
80,TRUE,0,1
81,TRUE,0,1
82,TRUE,0,1
86,TRUE,0,3
86,TRUE,1,1
88,TRUE,0,1
90,TRUE,0,1
90,TRUE,1,2
91,TRUE,0,1
92,TRUE,0,1
93,TRUE,0,1
94,TRUE,0,1
95,TRUE,0,2
95,TRUE,1,1
96,TRUE,0,1
98,TRUE,1,1
99,TRUE,0,2
99,TRUE,1,1
100,TRUE,1,2
101,TRUE,0,1
102,TRUE,0,1
103,TRUE,0,1
108,TRUE,1,1
109,TRUE,0,1
113,TRUE,0,1
115,TRUE,0,3
115,TRUE,1,1
116,TRUE,0,1
117,TRUE,0,1
119,TRUE,0,1
120,TRUE,0,1
120,TRUE,1,1
121,TRUE,0,1
122,TRUE,0,2
124,TRUE,0,1
126,TRUE,0,1
128,TRUE,1,1
129,TRUE,0,1
131,TRUE,0,1
133,TRUE,0,1
135,TRUE,0,1
137,TRUE,0,1
139,TRUE,1,1
140,TRUE,1,1
144,TRUE,0,1
145,TRUE,0,1
160,TRUE,1,1
167,TRUE,0,1
168,TRUE,0,1
169,TRUE,1,1
174,TRUE,0,1
176,TRUE,1,1
177,TRUE,1,1
184,TRUE,0,1
186,TRUE,1,1
203,TRUE,0,1
222,TRUE,0,1
232,TRUE,0,1
260,TRUE,0,1
265,TRUE,0,1
295,TRUE,0,1
445,TRUE,1,1
