model,fold,training_n,testing_n,training_losses,testing_losses,slopes,brier_score,roc_auc,converged,maximum_absolute_coefficient,maximum_standard_error
Prevalence benchmark,1,542,135,60,15,0,0.09876560020199449,0.5,TRUE,2.0835995501810394,0.136895603412227
Starting density only,1,542,135,60,15,1,0.07581422620324685,0.9161111111111111,TRUE,2.7161614022895604,0.21714883624793252
Starting abundance and observation,1,542,135,60,15,3,0.07113590372923037,0.9136111111111112,TRUE,2.915568904887903,0.2463191972316933
Beech hypothesis,1,542,135,60,15,7,0.07050187604532258,0.9283333333333333,TRUE,2.726310743001449,0.3357826461736585
Maple structure and total nonmaple,1,542,135,60,15,6,0.0688267703230611,0.9288888888888889,TRUE,2.652495501128211,0.32572631649581985
Maple structure and total nonmaple plus beech,1,542,135,60,15,7,0.07043331235249332,0.9288888888888889,TRUE,2.727101825221683,0.3359414097836323
Prevalence benchmark,2,541,136,64,11,0,0.07574043673929166,0.5,TRUE,2.008633407271835,0.13312056616073176
Starting density only,2,541,136,64,11,1,0.0662487203098964,0.8429090909090909,TRUE,2.7072974807589936,0.21786120857397773
Starting abundance and observation,2,541,136,64,11,3,0.06575357237292588,0.864,TRUE,2.918322802598591,0.24798910469890664
Beech hypothesis,2,541,136,64,11,7,0.06396051820664803,0.864,TRUE,2.9698549288568135,0.3507270349447907
Maple structure and total nonmaple,2,541,136,64,11,6,0.06628281169712427,0.8647272727272727,TRUE,2.9223828610136824,0.3432797308621976
Maple structure and total nonmaple plus beech,2,541,136,64,11,7,0.06411051309406421,0.864,TRUE,2.973508350487624,0.35116281897010915
Prevalence benchmark,3,542,135,61,14,0,0.09302743396626362,0.5,TRUE,2.0649934048640994,0.13591060685101083
Starting density only,3,542,135,61,14,1,0.07177516308390391,0.8878394332939787,TRUE,2.710168871845538,0.21619937392215077
Starting abundance and observation,3,542,135,61,14,3,0.08162312044388803,0.8509445100354192,TRUE,2.9901175328710545,0.25505340166778007
Beech hypothesis,3,542,135,61,14,7,0.08402757555749753,0.8412042502951594,TRUE,2.636974725403002,0.33668010936118775
Maple structure and total nonmaple,3,542,135,61,14,6,0.08563719610653076,0.8341204250295159,TRUE,2.5875998493553762,0.32917365390255127
Maple structure and total nonmaple plus beech,3,542,135,61,14,7,0.08403292292455895,0.8412042502951594,TRUE,2.6400239968999935,0.3371687713847549
Prevalence benchmark,4,542,135,52,23,0,0.14688404448620132,0.5,TRUE,2.2431616725232444,0.14584781415792847
Starting density only,4,542,135,52,23,1,0.12978929231806455,0.8020186335403726,TRUE,3.055199580577263,0.25491668345518087
Starting abundance and observation,4,542,135,52,23,3,0.12008365240456263,0.8385093167701864,TRUE,3.2438754727824946,0.2863070590931219
Beech hypothesis,4,542,135,52,23,7,0.11526269582240192,0.8365683229813664,TRUE,3.069831466617737,0.3771219459802713
Maple structure and total nonmaple,4,542,135,52,23,6,0.12060851741630525,0.8299689440993789,TRUE,3.030429793041045,0.37094084944904243
Maple structure and total nonmaple plus beech,4,542,135,52,23,7,0.11516591062166502,0.8357919254658385,TRUE,3.070892526074297,0.37724305951632675
Prevalence benchmark,5,541,136,63,12,0,0.08124595398923345,0.5,TRUE,2.0264760056884152,0.13403214051374104
Starting density only,5,541,136,63,12,1,0.08334922095350522,0.740255376344086,TRUE,2.8719719266880595,0.23863678815879483
Starting abundance and observation,5,541,136,63,12,3,0.07424401663277376,0.7758736559139785,TRUE,3.037257110425703,0.26414601909675467
Beech hypothesis,5,541,136,63,12,7,0.0739735254131635,0.8024193548387096,TRUE,2.7197644280379816,0.34870472212598125
Maple structure and total nonmaple,5,541,136,63,12,6,0.07493643043327676,0.7849462365591398,TRUE,2.647612615063795,0.33825687930872883
Maple structure and total nonmaple plus beech,5,541,136,63,12,7,0.07398957449173965,0.8030913978494624,TRUE,2.7236884025719537,0.3492374178381606
