model_variable,source_variable,transformation,center,scale,observations,scaling_population,fold
z_baseline_seedling_tpa,baseline_seedling_tpa,log1p,6.833308336584746,1.4366262217864194,542,training data only,1
z_established_maple_ba,established_maple_ba_ft2_ac,log1p,3.6394691530110532,0.8908993244673586,542,training data only,1
z_beech_sapling_ba,beech_sapling_ba_ft2_ac,log1p,0.22136311322551408,0.5931977850139386,542,training data only,1
z_other_nonmaple_ba,other_nonmaple_ba_ft2_ac,log1p,3.7729420692771054,1.1038466660179507,542,training data only,1
z_microplot_coverage,baseline_microplot_coverage,identity,0.9224322896678968,0.1947702352994174,542,training data only,1
z_interval_years,interval_years,identity,6.999077490774908,0.4601875836882568,542,training data only,1
z_total_nonmaple_ba,baseline_nonmaple_ba_ft2_ac,log1p,3.7914050585164816,1.0916379775857918,542,training data only,1
z_baseline_seedling_tpa,baseline_seedling_tpa,log1p,7.003229232090143,1.4646410466656532,541,training data only,2
z_established_maple_ba,established_maple_ba_ft2_ac,log1p,3.6712492955096074,0.8735115132206445,541,training data only,2
z_beech_sapling_ba,beech_sapling_ba_ft2_ac,log1p,0.2088177880579178,0.5895858882556718,541,training data only,2
z_other_nonmaple_ba,other_nonmaple_ba_ft2_ac,log1p,3.7733503830635446,1.0736285050231373,541,training data only,2
z_microplot_coverage,baseline_microplot_coverage,identity,0.9148495896487985,0.19992656430861286,541,training data only,2
z_interval_years,interval_years,identity,6.99799753542822,0.47700043912344087,541,training data only,2
z_total_nonmaple_ba,baseline_nonmaple_ba_ft2_ac,log1p,3.79190754279235,1.0606434673854355,541,training data only,2
z_baseline_seedling_tpa,baseline_seedling_tpa,log1p,6.992061734242553,1.4493224401601446,542,training data only,3
z_established_maple_ba,established_maple_ba_ft2_ac,log1p,3.6795322835323114,0.8895695112415848,542,training data only,3
z_beech_sapling_ba,beech_sapling_ba_ft2_ac,log1p,0.17199964601869352,0.5430663911787975,542,training data only,3
z_other_nonmaple_ba,other_nonmaple_ba_ft2_ac,log1p,3.809719067782591,1.0470948233308943,542,training data only,3
z_microplot_coverage,baseline_microplot_coverage,identity,0.912373618081181,0.20121808755043044,542,training data only,3
z_interval_years,interval_years,identity,6.973247232472325,0.44935173036289344,542,training data only,3
z_total_nonmaple_ba,baseline_nonmaple_ba_ft2_ac,log1p,3.8238140289329245,1.0377760817584405,542,training data only,3
z_baseline_seedling_tpa,baseline_seedling_tpa,log1p,7.041998217466152,1.472120072544781,542,training data only,4
z_established_maple_ba,established_maple_ba_ft2_ac,log1p,3.6991939006340893,0.8623385098124536,542,training data only,4
z_beech_sapling_ba,beech_sapling_ba_ft2_ac,log1p,0.10581030219984276,0.3943389087896976,542,training data only,4
z_other_nonmaple_ba,other_nonmaple_ba_ft2_ac,log1p,3.7926189519566598,1.0803006753981164,542,training data only,4
z_microplot_coverage,baseline_microplot_coverage,identity,0.917399856088561,0.19508214283515213,542,training data only,4
z_interval_years,interval_years,identity,6.9912361623616235,0.4581618389608725,542,training data only,4
z_total_nonmaple_ba,baseline_nonmaple_ba_ft2_ac,log1p,3.8016473768342,1.0743612813688195,542,training data only,4
z_baseline_seedling_tpa,baseline_seedling_tpa,log1p,6.995189647812592,1.4856855483460254,541,training data only,5
z_established_maple_ba,established_maple_ba_ft2_ac,log1p,3.66254522594127,0.8908638040548708,541,training data only,5
z_beech_sapling_ba,beech_sapling_ba_ft2_ac,log1p,0.20745815105209875,0.5703852863666713,541,training data only,5
z_other_nonmaple_ba,other_nonmaple_ba_ft2_ac,log1p,3.845597811767461,1.0764347315683063,541,training data only,5
z_microplot_coverage,baseline_microplot_coverage,identity,0.9100065582255081,0.20484127136221333,541,training data only,5
z_interval_years,interval_years,identity,6.95101663585952,0.4618841061354166,541,training data only,5
z_total_nonmaple_ba,baseline_nonmaple_ba_ft2_ac,log1p,3.8625633848715575,1.0633676414616777,541,training data only,5
