variable,missing_n,missing_pct
plt_cn,0,0
condid,0,0
invyr,0,0
measyear,0,0
measmon,0,0
measday,0,0
manual,0,0
designcd,0,0
kindcd,0,0
statecd,0,0
unitcd,0,0
countycd,0,0
plot,0,0
cond_status_cd,0,0
fortypcd,0,0
forest_type,0,0
condprop_unadj,0,0
micrprop_unadj,0,0
subpprop_unadj,0,0
stdage,0,0
stdszcd,0,0
balive,0,0
dstrbcd1,0,0
dstrbyr1,1121,76.93891557995882
dstrbcd2,0,0
dstrbyr2,1419,97.39190116678105
dstrbcd3,0,0
dstrbyr3,1455,99.8627316403569
trtcd1,0,0
trtyr1,1258,86.34179821551132
trtcd2,0,0
trtyr2,1411,96.84282772820865
trtcd3,0,0
trtyr3,1457,100
geoid,0,0
county_name,0,0
stand_age,0,0
disturbed,0,0
treated,0,0
total_ba_plot_basis,0,0
maple_ba_plot_basis,0,0
live_tree_records,0,0
total_ba_ft2_ac,0,0
maple_ba_ft2_ac,0,0
nonmaple_ba_ft2_ac,0,0
maple_ba_share,0,0
all_seedling_tpa_plot_basis,33,2.264927934111187
maple_seedling_tpa_plot_basis,33,2.264927934111187
maple_seedling_records,0,0
seedling_species_records,0,0
seedling_sampled,0,0
maple_seedling_tpa,33,2.264927934111187
all_seedling_tpa,33,2.264927934111187
maple_seedling_detected,33,2.264927934111187
maple_seedling_share,105,7.206588881262869
county_name_climate,0,0
representative_latitude,0,0
representative_longitude,0,0
climate_start_year,0,0
climate_end_year,0,0
climate_years,0,0
mean_annual_temp_c,0,0
mean_annual_precip_mm,0,0
spatial_method,0,0
established_percentile,33,2.264927934111187
regeneration_percentile,33,2.264927934111187
gap_rank_difference,33,2.264927934111187
potential_gap,33,2.264927934111187
potential_gap_sensitivity,33,2.264927934111187
established_threshold,0,0
sensitivity_threshold,0,0
