focal_maple_ba_ft2_ac,maple_ba_ft2_ac,log1p_maple_ba,z_maple_ba,maple_sapling_present,spline_df,nonlinear_maple,cohort_label,maple_exposure_definition,predicted_probability,conf_low,conf_high,prediction_scale,covariate_profile,inference_method,observed_range_note
0,0,0,-1.6417829779464463,FALSE,3,TRUE,Full-cohort baseline,frame-corrected basal area of all live sugar-maple TREE records at least 1 inch DBH,0.8218854879773286,0.7445505620167765,0.8795941560822013,probability of no sugar-maple seedlings tallied,continuous adjusters at their means; no recorded disturbance or treatment; county random effect set to zero,pointwise Wald 95% confidence interval,curve restricted to the observed minimum through the observed 99th percentile of the cohort-specific sugar-maple exposure
0.032349886239498825,0.032349886239498825,0.031837646653074037,-1.6233907259068787,FALSE,3,TRUE,Full-cohort baseline,frame-corrected basal area of all live sugar-maple TREE records at least 1 inch DBH,0.8171378711234273,0.7393264223085628,0.8756297295667137,probability of no sugar-maple seedlings tallied,continuous adjusters at their means; no recorded disturbance or treatment; county random effect set to zero,pointwise Wald 95% confidence interval,curve restricted to the observed minimum through the observed 99th percentile of the cohort-specific sugar-maple exposure
0.06574628761870617,0.06574628761870617,0.06367529330614807,-1.6049984738673113,FALSE,3,TRUE,Full-cohort baseline,frame-corrected basal area of all live sugar-maple TREE records at least 1 inch DBH,0.8122936142956787,0.7339966350994865,0.871576508937342,probability of no sugar-maple seedlings tallied,continuous adjusters at their means; no recorded disturbance or treatment; county random effect set to zero,pointwise Wald 95% confidence interval,curve restricted to the observed minimum through the observed 99th percentile of the cohort-specific sugar-maple exposure
0.10022305878333951,0.10022305878333951,0.09551293995922211,-1.5866062218277437,FALSE,3,TRUE,Full-cohort baseline,frame-corrected basal area of all live sugar-maple TREE records at least 1 inch DBH,0.8073533333642434,0.728560398474314,0.8674360248153469,probability of no sugar-maple seedlings tallied,continuous adjusters at their means; no recorded disturbance or treatment; county random effect set to zero,pointwise Wald 95% confidence interval,curve restricted to the observed minimum through the observed 99th percentile of the cohort-specific sugar-maple exposure
0.13581514957305396,0.13581514957305396,0.12735058661229615,-1.5682139697881763,FALSE,3,TRUE,Full-cohort baseline,frame-corrected basal area of all live sugar-maple TREE records at least 1 inch DBH,0.8023178094911585,0.7230170904341773,0.863210019600623,probability of no sugar-maple seedlings tallied,continuous adjusters at their means; no recorded disturbance or treatment; county random effect set to zero,pointwise Wald 95% confidence interval,curve restricted to the observed minimum through the observed 99th percentile of the cohort-specific sugar-maple exposure
0.17255864045084163,0.17255864045084163,0.15918823326537018,-1.549821717748609,FALSE,3,TRUE,Full-cohort baseline,frame-corrected basal area of all live sugar-maple TREE records at least 1 inch DBH,0.7971879934194578,0.7173662912479946,0.8589004401596676,probability of no sugar-maple seedlings tallied,continuous adjusters at their means; no recorded disturbance or treatment; county random effect set to zero,pointwise Wald 95% confidence interval,curve restricted to the observed minimum through the observed 99th percentile of the cohort-specific sugar-maple exposure
0.21049077907856775,0.21049077907856775,0.19102587991844422,-1.5314294657090415,FALSE,3,TRUE,Full-cohort baseline,frame-corrected basal area of all live sugar-maple TREE records at least 1 inch DBH,0.7919650092831163,0.711607806469167,0.854509428397092,probability of no sugar-maple seedlings tallied,continuous adjusters at their means; no recorded disturbance or treatment; county random effect set to zero,pointwise Wald 95% confidence interval,curve restricted to the observed minimum through the observed 99th percentile of the cohort-specific sugar-maple exposure
0.24965001807572174,0.24965001807572174,0.22286352657151826,-1.513037213669474,FALSE,3,TRUE,Full-cohort baseline,frame-corrected basal area of all live sugar-maple TREE records at least 1 inch DBH,0.7866501578949248,0.7057416903425003,0.8500393097869261,probability of no sugar-maple seedlings tallied,continuous adjusters at their means; no recorded disturbance or treatment; county random effect set to zero,pointwise Wald 95% confidence interval,curve restricted to the observed minimum through the observed 99th percentile of the cohort-specific sugar-maple exposure
0.29007605399965897,0.29007605399965897,0.2547011732245923,-1.4946449616299067,FALSE,3,TRUE,Full-cohort baseline,frame-corrected basal area of all live sugar-maple TREE records at least 1 inch DBH,0.7812449194711014,0.6997682692813246,0.8454925799899934,probability of no sugar-maple seedlings tallied,continuous adjusters at their means; no recorded disturbance or treatment; county random effect set to zero,pointwise Wald 95% confidence interval,curve restricted to the observed minimum through the observed 99th percentile of the cohort-specific sugar-maple exposure
0.3318098675868495,0.3318098675868495,0.28653881987766633,-1.476252709590339,FALSE,3,TRUE,Full-cohort baseline,frame-corrected basal area of all live sugar-maple TREE records at least 1 inch DBH,0.775750955753655,0.6936881650534296,0.8408718897332909,probability of no sugar-maple seedlings tallied,continuous adjusters at their means; no recorded disturbance or treatment; county random effect set to zero,pointwise Wald 95% confidence interval,curve restricted to the observed minimum through the observed 99th percentile of the cohort-specific sugar-maple exposure
