Term,VIF,VIF_CI_low,VIF_CI_high,SE_factor,Tolerance,Tolerance_CI_low,Tolerance_CI_high
z_maple_ba,1.4278185605284552,1.3310656108489993,1.5528472747842115,1.1949136205301434,0.7003690998594991,0.6439783333740681,0.7512777671133474
maple_sapling_present,1.0464270359559378,1.0115478592841547,1.1866553457757776,1.022950162987395,0.9556328015612426,0.8427046686805667,0.988583971407614
z_nonmaple_ba,1.4023177765552284,1.308617351877126,1.524466924325065,1.1841949909348664,0.7131051297491816,0.6559670033134599,0.764165321945002
z_microplot_coverage,1.107579866420361,1.0551783257799738,1.2097459010476745,1.0524162039898288,0.90286942758534106,0.8266198704488037,0.9477071084272065
treated,1.059007140555366,1.0192538363532884,1.180838902576736,1.029080725966319,0.9442806962336237,0.8468555683742098,0.9811098710972969
z_stand_age,1.1321968348987845,1.0751092187485627,1.2326745431311106,1.0640473837657722,0.8832386464756347,0.8112441402901895,0.9301380571957233
disturbed,1.0401786960957413,1.0081985769106871,1.196903394032884,1.0198915119245484,0.9613732753357187,0.8354893176721377,0.9918680931530283
z_mean_temp,1.1612735917730748,1.0993221631463221,1.261866743327685,1.0776240493665101,0.8611235173902161,0.7924767058706114,0.909651450251802
z_precip,1.14822369780628,1.0883866034167247,1.2485700744464878,1.0715520042472415,0.8709104348834932,0.8009162004329768,0.9187911692965933
z_year,1.0295661868372352,1.003557992695072,1.2456889260354735,1.0146754095952237,0.9712828692169264,0.8027686359728649,0.9964546217348965
