term,estimate,std.error,statistic,p.value,conf.low,conf.high,label,interpretation,inference_method,maple_effect_note
z_maple_ba,0.9012670465910811,0.09379523671662494,-1.1083044279651812,0.2677303638063777,0.7499198370774001,1.083158824597373,Established sugar-maple basal area,Adjusted odds ratio for no sugar-maple seedlings tallied; continuous effects are per 1 SD,Wald 95% confidence interval,NA
maple_sapling_presentTRUE,0.3255679555539225,0.1633809216193267,-6.868513503155988,6.487433368834569e-12,0.2363586820767191,0.44844764216935495,Sugar-maple saplings present,Adjusted odds ratio for no sugar-maple seedlings tallied; continuous effects are per 1 SD,Wald 95% confidence interval,NA
z_nonmaple_ba,1.29120432484515,0.09797792952949816,2.6084993756511095,0.00909401776267654,1.0656044052460478,1.564566175112481,Non-maple basal area,Adjusted odds ratio for no sugar-maple seedlings tallied; continuous effects are per 1 SD,Wald 95% confidence interval,NA
z_microplot_coverage,0.6443719765018383,0.07794475725785817,-5.638340945866643,1.716963051436564e-8,0.5530825381397116,0.7507292591399803,Microplot condition coverage,Adjusted odds ratio for no sugar-maple seedlings tallied; continuous effects are per 1 SD,Wald 95% confidence interval,NA
treatedTRUE,0.5241891274375087,0.253442950783615,-2.5485132948438034,0.01081831632570262,0.3189752436798963,0.8614281100744076,Recorded treatment,Adjusted odds ratio for no sugar-maple seedlings tallied; continuous effects are per 1 SD,Wald 95% confidence interval,NA
z_stand_age,0.9319493381431679,0.0849269528257694,-0.8298522629686004,0.40662231766441437,0.7890460515589107,1.1007336861385253,Stand age,Adjusted odds ratio for no sugar-maple seedlings tallied; continuous effects are per 1 SD,Wald 95% confidence interval,NA
disturbedTRUE,1.3077679390758008,0.19306496082019722,1.3898007155011094,0.16458940078717124,0.8957637710071182,1.9092723303061305,Recorded disturbance,Adjusted odds ratio for no sugar-maple seedlings tallied; continuous effects are per 1 SD,Wald 95% confidence interval,NA
z_mean_temp,1.7251865708866319,0.1251704545378681,4.356740603714271,1.3201356316936486e-5,1.3498663922484646,2.2048616970232304,Mean annual temperature,Adjusted odds ratio for no sugar-maple seedlings tallied; continuous effects are per 1 SD,Wald 95% confidence interval,NA
z_precip,0.7980067802122947,0.1273447431368533,-1.771868861671835,0.0764163283701294,0.6217424775345969,1.024242100668372,Annual precipitation,Adjusted odds ratio for no sugar-maple seedlings tallied; continuous effects are per 1 SD,Wald 95% confidence interval,NA
z_year,0.9174184270769117,0.07982583558947788,-1.07974580143809,0.28025539211426986,0.7845481173661416,1.0727915238211974,Measurement year,Adjusted odds ratio for no sugar-maple seedlings tallied; continuous effects are per 1 SD,Wald 95% confidence interval,NA
