baseline_measyear,followup_measyear,successor_count,followup_plot_compatible,date_window,baseline_condition_visits,physical_plots
2012,2018,1,TRUE,TRUE,15,14
2012,2019,1,TRUE,TRUE,8,8
2013,2019,1,FALSE,TRUE,1,1
2013,2019,1,TRUE,TRUE,8,8
2013,2020,1,FALSE,TRUE,2,2
2013,2020,1,TRUE,TRUE,17,16
2013,2021,1,TRUE,TRUE,1,1
2014,2021,1,FALSE,TRUE,3,2
2014,2021,1,TRUE,TRUE,4,4
2015,2022,1,FALSE,TRUE,3,3
2015,2022,1,TRUE,TRUE,19,18
2016,2023,1,FALSE,TRUE,4,3
2016,2023,1,TRUE,TRUE,11,11
2017,2024,1,FALSE,TRUE,1,1
2017,2024,1,TRUE,TRUE,11,10
2018,2025,1,TRUE,TRUE,20,19
2019,NA,0,FALSE,FALSE,17,16
2020,NA,0,FALSE,FALSE,17,16
2021,NA,0,FALSE,FALSE,7,7
2022,NA,0,FALSE,FALSE,18,18
2023,NA,0,FALSE,FALSE,12,12
2024,NA,0,FALSE,FALSE,15,13
2025,NA,0,FALSE,FALSE,20,18
