loss_difference_sd,half_width,variance_inflation,retention,confidence,independent_equivalent_plots,complete_evaluation_plots,candidate_plots_at_assumed_retention,limitation
0.05,0.005,1,0.8,0.95,385,385,482,"Normal-approximation precision for frozen paired plot-level losses; hypothetical inputs; not power, training size, calibration adequacy, or guaranteed recruitment yield"
0.1,0.005,1,0.8,0.95,1537,1537,1922,"Normal-approximation precision for frozen paired plot-level losses; hypothetical inputs; not power, training size, calibration adequacy, or guaranteed recruitment yield"
0.2,0.005,1,0.8,0.95,6147,6147,7684,"Normal-approximation precision for frozen paired plot-level losses; hypothetical inputs; not power, training size, calibration adequacy, or guaranteed recruitment yield"
0.05,0.01,1,0.8,0.95,97,97,122,"Normal-approximation precision for frozen paired plot-level losses; hypothetical inputs; not power, training size, calibration adequacy, or guaranteed recruitment yield"
0.1,0.01,1,0.8,0.95,385,385,482,"Normal-approximation precision for frozen paired plot-level losses; hypothetical inputs; not power, training size, calibration adequacy, or guaranteed recruitment yield"
0.2,0.01,1,0.8,0.95,1537,1537,1922,"Normal-approximation precision for frozen paired plot-level losses; hypothetical inputs; not power, training size, calibration adequacy, or guaranteed recruitment yield"
0.05,0.02,1,0.8,0.95,25,25,32,"Normal-approximation precision for frozen paired plot-level losses; hypothetical inputs; not power, training size, calibration adequacy, or guaranteed recruitment yield"
0.1,0.02,1,0.8,0.95,97,97,122,"Normal-approximation precision for frozen paired plot-level losses; hypothetical inputs; not power, training size, calibration adequacy, or guaranteed recruitment yield"
0.2,0.02,1,0.8,0.95,385,385,482,"Normal-approximation precision for frozen paired plot-level losses; hypothetical inputs; not power, training size, calibration adequacy, or guaranteed recruitment yield"
0.05,0.005,1.5,0.8,0.95,385,577,722,"Normal-approximation precision for frozen paired plot-level losses; hypothetical inputs; not power, training size, calibration adequacy, or guaranteed recruitment yield"
0.1,0.005,1.5,0.8,0.95,1537,2305,2882,"Normal-approximation precision for frozen paired plot-level losses; hypothetical inputs; not power, training size, calibration adequacy, or guaranteed recruitment yield"
0.2,0.005,1.5,0.8,0.95,6147,9220,11525,"Normal-approximation precision for frozen paired plot-level losses; hypothetical inputs; not power, training size, calibration adequacy, or guaranteed recruitment yield"
0.05,0.01,1.5,0.8,0.95,97,145,182,"Normal-approximation precision for frozen paired plot-level losses; hypothetical inputs; not power, training size, calibration adequacy, or guaranteed recruitment yield"
0.1,0.01,1.5,0.8,0.95,385,577,722,"Normal-approximation precision for frozen paired plot-level losses; hypothetical inputs; not power, training size, calibration adequacy, or guaranteed recruitment yield"
0.2,0.01,1.5,0.8,0.95,1537,2305,2882,"Normal-approximation precision for frozen paired plot-level losses; hypothetical inputs; not power, training size, calibration adequacy, or guaranteed recruitment yield"
0.05,0.02,1.5,0.8,0.95,25,37,47,"Normal-approximation precision for frozen paired plot-level losses; hypothetical inputs; not power, training size, calibration adequacy, or guaranteed recruitment yield"
0.1,0.02,1.5,0.8,0.95,97,145,182,"Normal-approximation precision for frozen paired plot-level losses; hypothetical inputs; not power, training size, calibration adequacy, or guaranteed recruitment yield"
0.2,0.02,1.5,0.8,0.95,385,577,722,"Normal-approximation precision for frozen paired plot-level losses; hypothetical inputs; not power, training size, calibration adequacy, or guaranteed recruitment yield"
0.05,0.005,2,0.8,0.95,385,769,962,"Normal-approximation precision for frozen paired plot-level losses; hypothetical inputs; not power, training size, calibration adequacy, or guaranteed recruitment yield"
0.1,0.005,2,0.8,0.95,1537,3074,3843,"Normal-approximation precision for frozen paired plot-level losses; hypothetical inputs; not power, training size, calibration adequacy, or guaranteed recruitment yield"
0.2,0.005,2,0.8,0.95,6147,12293,15367,"Normal-approximation precision for frozen paired plot-level losses; hypothetical inputs; not power, training size, calibration adequacy, or guaranteed recruitment yield"
0.05,0.01,2,0.8,0.95,97,193,242,"Normal-approximation precision for frozen paired plot-level losses; hypothetical inputs; not power, training size, calibration adequacy, or guaranteed recruitment yield"
0.1,0.01,2,0.8,0.95,385,769,962,"Normal-approximation precision for frozen paired plot-level losses; hypothetical inputs; not power, training size, calibration adequacy, or guaranteed recruitment yield"
0.2,0.01,2,0.8,0.95,1537,3074,3843,"Normal-approximation precision for frozen paired plot-level losses; hypothetical inputs; not power, training size, calibration adequacy, or guaranteed recruitment yield"
0.05,0.02,2,0.8,0.95,25,49,62,"Normal-approximation precision for frozen paired plot-level losses; hypothetical inputs; not power, training size, calibration adequacy, or guaranteed recruitment yield"
0.1,0.02,2,0.8,0.95,97,193,242,"Normal-approximation precision for frozen paired plot-level losses; hypothetical inputs; not power, training size, calibration adequacy, or guaranteed recruitment yield"
0.2,0.02,2,0.8,0.95,385,769,962,"Normal-approximation precision for frozen paired plot-level losses; hypothetical inputs; not power, training size, calibration adequacy, or guaranteed recruitment yield"
0.05,0.005,1,1,0.95,385,385,385,"Normal-approximation precision for frozen paired plot-level losses; hypothetical inputs; not power, training size, calibration adequacy, or guaranteed recruitment yield"
0.1,0.005,1,1,0.95,1537,1537,1537,"Normal-approximation precision for frozen paired plot-level losses; hypothetical inputs; not power, training size, calibration adequacy, or guaranteed recruitment yield"
0.2,0.005,1,1,0.95,6147,6147,6147,"Normal-approximation precision for frozen paired plot-level losses; hypothetical inputs; not power, training size, calibration adequacy, or guaranteed recruitment yield"
0.05,0.01,1,1,0.95,97,97,97,"Normal-approximation precision for frozen paired plot-level losses; hypothetical inputs; not power, training size, calibration adequacy, or guaranteed recruitment yield"
0.1,0.01,1,1,0.95,385,385,385,"Normal-approximation precision for frozen paired plot-level losses; hypothetical inputs; not power, training size, calibration adequacy, or guaranteed recruitment yield"
0.2,0.01,1,1,0.95,1537,1537,1537,"Normal-approximation precision for frozen paired plot-level losses; hypothetical inputs; not power, training size, calibration adequacy, or guaranteed recruitment yield"
