geoid,observations,fold,assignment_rule,population
26053,110,1,Greedy balance by condition count only; county ID breaks ties; outcomes never used,All eligible pairs
26131,96,2,Greedy balance by condition count only; county ID breaks ties; outcomes never used,All eligible pairs
26071,78,3,Greedy balance by condition count only; county ID breaks ties; outcomes never used,All eligible pairs
26003,74,4,Greedy balance by condition count only; county ID breaks ties; outcomes never used,All eligible pairs
26061,72,5,Greedy balance by condition count only; county ID breaks ties; outcomes never used,All eligible pairs
26103,59,5,Greedy balance by condition count only; county ID breaks ties; outcomes never used,All eligible pairs
26013,53,4,Greedy balance by condition count only; county ID breaks ties; outcomes never used,All eligible pairs
26097,30,3,Greedy balance by condition count only; county ID breaks ties; outcomes never used,All eligible pairs
26095,27,2,Greedy balance by condition count only; county ID breaks ties; outcomes never used,All eligible pairs
26033,26,3,Greedy balance by condition count only; county ID breaks ties; outcomes never used,All eligible pairs
26153,23,1,Greedy balance by condition count only; county ID breaks ties; outcomes never used,All eligible pairs
26165,22,2,Greedy balance by condition count only; county ID breaks ties; outcomes never used,All eligible pairs
26041,21,4,Greedy balance by condition count only; county ID breaks ties; outcomes never used,All eligible pairs
26109,18,5,Greedy balance by condition count only; county ID breaks ties; outcomes never used,All eligible pairs
26083,17,1,Greedy balance by condition count only; county ID breaks ties; outcomes never used,All eligible pairs
26137,16,3,Greedy balance by condition count only; county ID breaks ties; outcomes never used,All eligible pairs
26043,14,2,Greedy balance by condition count only; county ID breaks ties; outcomes never used,All eligible pairs
26031,13,4,Greedy balance by condition count only; county ID breaks ties; outcomes never used,All eligible pairs
26009,12,5,Greedy balance by condition count only; county ID breaks ties; outcomes never used,All eligible pairs
26029,10,1,Greedy balance by condition count only; county ID breaks ties; outcomes never used,All eligible pairs
26089,10,3,Greedy balance by condition count only; county ID breaks ties; outcomes never used,All eligible pairs
26019,9,2,Greedy balance by condition count only; county ID breaks ties; outcomes never used,All eligible pairs
26047,8,1,Greedy balance by condition count only; county ID breaks ties; outcomes never used,All eligible pairs
26055,7,3,Greedy balance by condition count only; county ID breaks ties; outcomes never used,All eligible pairs
26079,7,4,Greedy balance by condition count only; county ID breaks ties; outcomes never used,All eligible pairs
26101,7,5,Greedy balance by condition count only; county ID breaks ties; outcomes never used,All eligible pairs
26001,6,3,Greedy balance by condition count only; county ID breaks ties; outcomes never used,All eligible pairs
26133,6,1,Greedy balance by condition count only; county ID breaks ties; outcomes never used,All eligible pairs
26119,5,2,Greedy balance by condition count only; county ID breaks ties; outcomes never used,All eligible pairs
26113,4,4,Greedy balance by condition count only; county ID breaks ties; outcomes never used,All eligible pairs
26021,3,5,Greedy balance by condition count only; county ID breaks ties; outcomes never used,All eligible pairs
26081,3,5,Greedy balance by condition count only; county ID breaks ties; outcomes never used,All eligible pairs
26085,3,4,Greedy balance by condition count only; county ID breaks ties; outcomes never used,All eligible pairs
26087,3,2,Greedy balance by condition count only; county ID breaks ties; outcomes never used,All eligible pairs
26141,3,3,Greedy balance by condition count only; county ID breaks ties; outcomes never used,All eligible pairs
26015,2,1,Greedy balance by condition count only; county ID breaks ties; outcomes never used,All eligible pairs
26027,2,5,Greedy balance by condition count only; county ID breaks ties; outcomes never used,All eligible pairs
26039,2,4,Greedy balance by condition count only; county ID breaks ties; outcomes never used,All eligible pairs
26045,2,1,Greedy balance by condition count only; county ID breaks ties; outcomes never used,All eligible pairs
26059,2,2,Greedy balance by condition count only; county ID breaks ties; outcomes never used,All eligible pairs
26067,2,3,Greedy balance by condition count only; county ID breaks ties; outcomes never used,All eligible pairs
26073,2,5,Greedy balance by condition count only; county ID breaks ties; outcomes never used,All eligible pairs
26077,2,4,Greedy balance by condition count only; county ID breaks ties; outcomes never used,All eligible pairs
26091,2,1,Greedy balance by condition count only; county ID breaks ties; outcomes never used,All eligible pairs
26121,2,2,Greedy balance by condition count only; county ID breaks ties; outcomes never used,All eligible pairs
26127,2,3,Greedy balance by condition count only; county ID breaks ties; outcomes never used,All eligible pairs
26129,2,5,Greedy balance by condition count only; county ID breaks ties; outcomes never used,All eligible pairs
26135,2,4,Greedy balance by condition count only; county ID breaks ties; outcomes never used,All eligible pairs
26139,2,1,Greedy balance by condition count only; county ID breaks ties; outcomes never used,All eligible pairs
26147,2,2,Greedy balance by condition count only; county ID breaks ties; outcomes never used,All eligible pairs
26159,2,3,Greedy balance by condition count only; county ID breaks ties; outcomes never used,All eligible pairs
26005,1,5,Greedy balance by condition count only; county ID breaks ties; outcomes never used,All eligible pairs
26007,1,4,Greedy balance by condition count only; county ID breaks ties; outcomes never used,All eligible pairs
26049,1,5,Greedy balance by condition count only; county ID breaks ties; outcomes never used,All eligible pairs
26063,1,1,Greedy balance by condition count only; county ID breaks ties; outcomes never used,All eligible pairs
26065,1,2,Greedy balance by condition count only; county ID breaks ties; outcomes never used,All eligible pairs
26069,1,3,Greedy balance by condition count only; county ID breaks ties; outcomes never used,All eligible pairs
26099,1,4,Greedy balance by condition count only; county ID breaks ties; outcomes never used,All eligible pairs
26105,1,5,Greedy balance by condition count only; county ID breaks ties; outcomes never used,All eligible pairs
26107,1,1,Greedy balance by condition count only; county ID breaks ties; outcomes never used,All eligible pairs
26115,1,2,Greedy balance by condition count only; county ID breaks ties; outcomes never used,All eligible pairs
26123,1,3,Greedy balance by condition count only; county ID breaks ties; outcomes never used,All eligible pairs
