model,fold,training_n,test_n,training_events,test_events,training_counties,test_counties,slopes,converged,iterations,max_gradient,max_absolute_coefficient,lambda,brier_score,population
Prevalence,1,737,185,75,25,53,13,0,TRUE,1,2.525757381022231e-15,2.1777774424006977,1,0.11798726920539869,All eligible pairs
Observation design,1,737,185,75,25,53,13,2,TRUE,6,4.0069861650948724e-8,2.3260734756437818,1,0.11768666417125297,All eligible pairs
Seedling count and design,1,737,185,75,25,53,13,3,TRUE,7,6.132316876517052e-13,2.8140233713619787,1,0.11197846381505341,All eligible pairs
Maple stages and design,1,737,185,75,25,53,13,5,TRUE,7,3.824496275228739e-12,2.9213196720901164,1,0.10502283852485204,All eligible pairs
Prevalence,2,737,185,89,11,53,13,0,TRUE,1,7.119305145408816e-15,1.9852543266201348,1,0.059681768448653444,All eligible pairs
Observation design,2,737,185,89,11,53,13,2,TRUE,6,3.6601166542027386e-11,2.0856320087266744,1,0.06051916458866845,All eligible pairs
Seedling count and design,2,737,185,89,11,53,13,3,TRUE,6,5.949709283581406e-8,2.529701461751871,1,0.058907449996197805,All eligible pairs
Maple stages and design,2,737,185,89,11,53,13,5,TRUE,7,5.1986193128072955e-14,2.697380722713034,1,0.061424592153426695,All eligible pairs
Prevalence,3,738,184,78,22,53,13,0,TRUE,1,2.1760371282653068e-14,2.1355310083308794,1,0.10546186851051945,All eligible pairs
Observation design,3,738,184,78,22,53,13,2,TRUE,6,7.947383862116908e-10,2.254881799290506,1,0.10441810282767845,All eligible pairs
Seedling count and design,3,738,184,78,22,53,13,3,TRUE,7,6.5156213757688874e-15,2.683759066915926,1,0.09342411136735267,All eligible pairs
Maple stages and design,3,738,184,78,22,53,13,5,TRUE,7,1.0763612223740893e-13,2.8143804187212353,1,0.08983007284350712,All eligible pairs
Prevalence,4,738,184,78,22,53,13,0,TRUE,1,3.241851231905457e-14,2.1355310083308794,1,0.10546186851051952,All eligible pairs
Observation design,4,738,184,78,22,53,13,2,TRUE,6,2.0969337377607644e-14,2.192107580200598,1,0.10208038668296507,All eligible pairs
Seedling count and design,4,738,184,78,22,53,13,3,TRUE,6,1.785907516316243e-8,2.7103531298224444,1,0.09331710599522293,All eligible pairs
Maple stages and design,4,738,184,78,22,53,13,5,TRUE,7,1.1546319456101628e-14,2.8488024177816045,1,0.0914964681170626,All eligible pairs
Prevalence,5,738,184,80,20,52,14,0,TRUE,1,2.7755575615628914e-16,2.1071782966514356,1,0.09688099414280318,All eligible pairs
Observation design,5,738,184,80,20,52,14,2,TRUE,6,1.6837309324557737e-11,2.1948615589901994,1,0.09437891684815292,All eligible pairs
Seedling count and design,5,738,184,80,20,52,14,3,TRUE,6,2.6929457275226554e-8,2.5915278362605543,1,0.08058640473960697,All eligible pairs
Maple stages and design,5,738,184,80,20,52,14,5,TRUE,7,1.5459855617905305e-14,2.7803994880519376,1,0.08231793341289463,All eligible pairs
Prevalence,1,537,135,79,21,39,10,0,TRUE,1,2.964295475749168e-14,1.7574213316471634,1,0.13142929140557172,Baseline seedlings detected
Observation design,1,537,135,79,21,39,10,2,TRUE,6,2.4480417692984702e-14,1.7993429698194965,1,0.13107363145650086,Baseline seedlings detected
Seedling count and design,1,537,135,79,21,39,10,3,TRUE,6,3.421679606319117e-12,1.987264183211905,1,0.12519282135141083,Baseline seedlings detected
Maple stages and design,1,537,135,79,21,39,10,5,TRUE,6,1.6385323653445028e-11,2.0370009384424677,1,0.11660542255725172,Baseline seedlings detected
Prevalence,2,537,135,84,16,39,10,0,TRUE,1,6.38378239159465e-15,1.6850753266397205,1,0.10590874885996764,Baseline seedlings detected
Observation design,2,537,135,84,16,39,10,2,TRUE,6,7.605027718682322e-15,1.723006195212659,1,0.10592306426572413,Baseline seedlings detected
Seedling count and design,2,537,135,84,16,39,10,3,TRUE,6,9.277384416250811e-12,1.9683813479897947,1,0.10996960232065887,Baseline seedlings detected
Maple stages and design,2,537,135,84,16,39,10,5,TRUE,6,5.045762557776001e-10,2.066573116546323,1,0.10967814020330573,Baseline seedlings detected
Prevalence,3,538,134,81,19,38,11,0,TRUE,1,1.27675647831893e-15,1.7302342362217658,1,0.12176319725291115,Baseline seedlings detected
Observation design,3,538,134,81,19,38,11,2,TRUE,6,1.596850429663732e-11,1.8067227323537465,1,0.12445837486698978,Baseline seedlings detected
Seedling count and design,3,538,134,81,19,38,11,3,TRUE,6,1.1873018124219925e-9,1.9688574394976617,1,0.11638176854387172,Baseline seedlings detected
Maple stages and design,3,538,134,81,19,38,11,5,TRUE,6,4.4914028607401235e-9,2.056970339858154,1,0.11455106378372472,Baseline seedlings detected
Prevalence,4,538,134,76,24,40,9,0,TRUE,1,9.353628982466944e-15,1.8048315507954078,1,0.1484579699586668,Baseline seedlings detected
Observation design,4,538,134,76,24,40,9,2,TRUE,5,6.24773954793767e-10,1.8247943847464305,1,0.14571202168938915,Baseline seedlings detected
Seedling count and design,4,538,134,76,24,40,9,3,TRUE,6,2.3515911440341597e-14,2.022240573602368,1,0.135147486565787,Baseline seedlings detected
Maple stages and design,4,538,134,76,24,40,9,5,TRUE,6,4.74559502805505e-10,2.1588004271409846,1,0.1404030502727319,Baseline seedlings detected
Prevalence,5,538,134,80,20,40,9,0,TRUE,1,8.493206138382448e-15,1.7448425494403033,1,0.1269773628781231,Baseline seedlings detected
Observation design,5,538,134,80,20,40,9,2,TRUE,5,1.791046200239066e-10,1.759495302951632,1,0.12382917625153471,Baseline seedlings detected
Seedling count and design,5,538,134,80,20,40,9,3,TRUE,6,1.0928757898653885e-14,1.929650786058909,1,0.11215879172693606,Baseline seedlings detected
Maple stages and design,5,538,134,80,20,40,9,5,TRUE,6,5.712208483998893e-12,2.0130306820490027,1,0.10970880103364188,Baseline seedlings detected
