term,source,transformation,center,scale,constant_in_training,positive_weight_rows,training_weight,scaling_scope,fold,population
z_coverage,baseline_micrprop_unadj,identity,0.8854020963364992,0.231199087763923,FALSE,737,737,Training observations only; frequency-weighted within bootstrap,1,All eligible pairs
z_interval,interval_years,identity,7.0032790592492065,0.4599758415700751,FALSE,737,737,Training observations only; frequency-weighted within bootstrap,1,All eligible pairs
z_seedling_count,baseline_seedling_count,log1p,1.8430281503135184,1.599581866452472,FALSE,737,737,Training observations only; frequency-weighted within bootstrap,1,All eligible pairs
z_sapling_tpa,baseline_maple_sapling_tpa,log1p,3.138167442171285,2.595089459363065,FALSE,737,737,Training observations only; frequency-weighted within bootstrap,1,All eligible pairs
z_established_ba,baseline_established_maple_ba_ft2_ac,log1p,3.5492031396529997,0.9513752363091503,FALSE,737,737,Training observations only; frequency-weighted within bootstrap,1,All eligible pairs
z_coverage,baseline_micrprop_unadj,identity,0.8766515061058343,0.2353173493336527,FALSE,737,737,Training observations only; frequency-weighted within bootstrap,2,All eligible pairs
z_interval,interval_years,identity,6.986431478968785,0.47338650336497334,FALSE,737,737,Training observations only; frequency-weighted within bootstrap,2,All eligible pairs
z_seedling_count,baseline_seedling_count,log1p,1.9790048623019454,1.6514548365642274,FALSE,737,737,Training observations only; frequency-weighted within bootstrap,2,All eligible pairs
z_sapling_tpa,baseline_maple_sapling_tpa,log1p,3.11284615230777,2.5918405387867716,FALSE,737,737,Training observations only; frequency-weighted within bootstrap,2,All eligible pairs
z_established_ba,baseline_established_maple_ba_ft2_ac,log1p,3.5657366668574024,0.9482762365812394,FALSE,737,737,Training observations only; frequency-weighted within bootstrap,2,All eligible pairs
z_coverage,baseline_micrprop_unadj,identity,0.8752450758807588,0.23659910363686246,FALSE,738,738,Training observations only; frequency-weighted within bootstrap,3,All eligible pairs
z_interval,interval_years,identity,6.99141824751581,0.4596873983070232,FALSE,738,738,Training observations only; frequency-weighted within bootstrap,3,All eligible pairs
z_seedling_count,baseline_seedling_count,log1p,2.0243240745358055,1.6748140960204518,FALSE,738,738,Training observations only; frequency-weighted within bootstrap,3,All eligible pairs
z_sapling_tpa,baseline_maple_sapling_tpa,log1p,3.2078536836252245,2.603646273779187,FALSE,738,738,Training observations only; frequency-weighted within bootstrap,3,All eligible pairs
z_established_ba,baseline_established_maple_ba_ft2_ac,log1p,3.576618048625582,0.9228985435328125,FALSE,738,738,Training observations only; frequency-weighted within bootstrap,3,All eligible pairs
z_coverage,baseline_micrprop_unadj,identity,0.880999575880759,0.23192095645451946,FALSE,738,738,Training observations only; frequency-weighted within bootstrap,4,All eligible pairs
z_interval,interval_years,identity,6.98249774164408,0.44286099962415854,FALSE,738,738,Training observations only; frequency-weighted within bootstrap,4,All eligible pairs
z_seedling_count,baseline_seedling_count,log1p,1.9736378592062496,1.6515681958762436,FALSE,738,738,Training observations only; frequency-weighted within bootstrap,4,All eligible pairs
z_sapling_tpa,baseline_maple_sapling_tpa,log1p,3.282582199562115,2.5621379159725834,FALSE,738,738,Training observations only; frequency-weighted within bootstrap,4,All eligible pairs
z_established_ba,baseline_established_maple_ba_ft2_ac,log1p,3.5906801312824386,0.9344661056053873,FALSE,738,738,Training observations only; frequency-weighted within bootstrap,4,All eligible pairs
z_coverage,baseline_micrprop_unadj,identity,0.8830120840108401,0.22803602782972499,FALSE,738,738,Training observations only; frequency-weighted within bootstrap,5,All eligible pairs
z_interval,interval_years,identity,6.960930442637758,0.44607632432088307,FALSE,738,738,Training observations only; frequency-weighted within bootstrap,5,All eligible pairs
z_seedling_count,baseline_seedling_count,log1p,1.9889959464121616,1.6285612622252743,FALSE,738,738,Training observations only; frequency-weighted within bootstrap,5,All eligible pairs
z_sapling_tpa,baseline_maple_sapling_tpa,log1p,3.1935731204237596,2.5849008096781034,FALSE,738,738,Training observations only; frequency-weighted within bootstrap,5,All eligible pairs
z_established_ba,baseline_established_maple_ba_ft2_ac,log1p,3.581755042563679,0.9646654927429129,FALSE,738,738,Training observations only; frequency-weighted within bootstrap,5,All eligible pairs
z_coverage,baseline_micrprop_unadj,identity,0.9206241266294227,0.1954779296836005,FALSE,537,537,Training observations only; frequency-weighted within bootstrap,1,Baseline seedlings detected
z_interval,interval_years,identity,7.006828057107393,0.45955280422893724,FALSE,537,537,Training observations only; frequency-weighted within bootstrap,1,Baseline seedlings detected
z_seedling_count,baseline_seedling_count,log1p,2.617975226401695,1.2808589225768126,FALSE,537,537,Training observations only; frequency-weighted within bootstrap,1,Baseline seedlings detected
z_sapling_tpa,baseline_maple_sapling_tpa,log1p,3.6205080773749585,2.5030999799798357,FALSE,537,537,Training observations only; frequency-weighted within bootstrap,1,Baseline seedlings detected
z_established_ba,baseline_established_maple_ba_ft2_ac,log1p,3.642439839944395,0.8921200210714433,FALSE,537,537,Training observations only; frequency-weighted within bootstrap,1,Baseline seedlings detected
z_coverage,baseline_micrprop_unadj,identity,0.9143594245810056,0.200935128959281,FALSE,537,537,Training observations only; frequency-weighted within bootstrap,2,Baseline seedlings detected
z_interval,interval_years,identity,6.998758535071387,0.4772210774039421,FALSE,537,537,Training observations only; frequency-weighted within bootstrap,2,Baseline seedlings detected
z_seedling_count,baseline_seedling_count,log1p,2.706137760947688,1.3281859539155634,FALSE,537,537,Training observations only; frequency-weighted within bootstrap,2,Baseline seedlings detected
z_sapling_tpa,baseline_maple_sapling_tpa,log1p,3.4726140484988988,2.5495104567884876,FALSE,537,537,Training observations only; frequency-weighted within bootstrap,2,Baseline seedlings detected
z_established_ba,baseline_established_maple_ba_ft2_ac,log1p,3.6740716101680153,0.8688641383483738,FALSE,537,537,Training observations only; frequency-weighted within bootstrap,2,Baseline seedlings detected
z_coverage,baseline_micrprop_unadj,identity,0.914551252788104,0.19784227738137275,FALSE,538,538,Training observations only; frequency-weighted within bootstrap,3,Baseline seedlings detected
z_interval,interval_years,identity,6.9716542750929404,0.4551978238258038,FALSE,538,538,Training observations only; frequency-weighted within bootstrap,3,Baseline seedlings detected
z_seedling_count,baseline_seedling_count,log1p,2.6966298240466,1.3112419782283198,FALSE,538,538,Training observations only; frequency-weighted within bootstrap,3,Baseline seedlings detected
