count_group,saplings_present,conditions,conditions_with_new_tally,recruitment_fraction,no_new_tally_fraction
0,FALSE,146,0,0,1
0,TRUE,104,0,0,1
1,FALSE,43,0,0,1
1,TRUE,39,1,0.02564102564102564,0.9743589743589743
2-5,FALSE,41,0,0,1
2-5,TRUE,88,8,0.09090909090909091,0.9090909090909091
6-20,FALSE,47,1,0.02127659574468085,0.9787234042553191
6-20,TRUE,134,18,0.13432835820895522,0.8656716417910448
>20,FALSE,78,13,0.16666666666666666,0.8333333333333334
>20,TRUE,202,59,0.29207920792079206,0.7079207920792079
