model,reference,metric,lower,upper,difference,comparison_scope,difference_direction,resamples_requested,resamples_succeeded,seed,uncertainty_scope,population
Maple stages and design,Seedling count and design,average_precision,-0.00946657384916921,0.07532950747693914,0.03966167718010816,"Same observations, outcomes, folds, capacity and penalty",Named model minus reference; negative Brier/log loss/no-new-tally fraction favors named model,300,300,20260908,"County-cluster percentile bootstrap with training scaling and all cross-validation fits repeated; fixed original county-fold assignment, fixed model set and lambda; excludes model-choice and snapshot-selection uncertainty",All eligible pairs
Maple stages and design,Seedling count and design,brier_score,-0.005291139525936876,0.002632093804921011,-0.0016256166612626383,"Same observations, outcomes, folds, capacity and penalty",Named model minus reference; negative Brier/log loss/no-new-tally fraction favors named model,300,300,20260908,"County-cluster percentile bootstrap with training scaling and all cross-validation fits repeated; fixed original county-fold assignment, fixed model set and lambda; excludes model-choice and snapshot-selection uncertainty",All eligible pairs
Maple stages and design,Seedling count and design,log_loss,-0.017578578232018388,0.0046032613131612825,-0.006863750917491196,"Same observations, outcomes, folds, capacity and penalty",Named model minus reference; negative Brier/log loss/no-new-tally fraction favors named model,300,300,20260908,"County-cluster percentile bootstrap with training scaling and all cross-validation fits repeated; fixed original county-fold assignment, fixed model set and lambda; excludes model-choice and snapshot-selection uncertainty",All eligible pairs
Maple stages and design,Seedling count and design,roc_auc,-0.006292970133850842,0.029276190670142324,0.009434306569342965,"Same observations, outcomes, folds, capacity and penalty",Named model minus reference; negative Brier/log loss/no-new-tally fraction favors named model,300,300,20260908,"County-cluster percentile bootstrap with training scaling and all cross-validation fits repeated; fixed original county-fold assignment, fixed model set and lambda; excludes model-choice and snapshot-selection uncertainty",All eligible pairs
Maple stages and design,Seedling count and design,top_event_capture_fraction,-0.0854255319148936,0.09267870107583656,-0.020000000000000018,"Same observations, outcomes, folds, capacity and penalty",Named model minus reference; negative Brier/log loss/no-new-tally fraction favors named model,300,300,20260908,"County-cluster percentile bootstrap with training scaling and all cross-validation fits repeated; fixed original county-fold assignment, fixed model set and lambda; excludes model-choice and snapshot-selection uncertainty",All eligible pairs
Maple stages and design,Seedling count and design,top_events,-10,9,-2,"Same observations, outcomes, folds, capacity and penalty",Named model minus reference; negative Brier/log loss/no-new-tally fraction favors named model,300,300,20260908,"County-cluster percentile bootstrap with training scaling and all cross-validation fits repeated; fixed original county-fold assignment, fixed model set and lambda; excludes model-choice and snapshot-selection uncertainty",All eligible pairs
Maple stages and design,Seedling count and design,top_no_new_tally_fraction,-0.04438879728299656,0.03650349650349649,0.008695652173913104,"Same observations, outcomes, folds, capacity and penalty",Named model minus reference; negative Brier/log loss/no-new-tally fraction favors named model,300,300,20260908,"County-cluster percentile bootstrap with training scaling and all cross-validation fits repeated; fixed original county-fold assignment, fixed model set and lambda; excludes model-choice and snapshot-selection uncertainty",All eligible pairs
Maple stages and design,Seedling count and design,top_recruitment_fraction,-0.03650349650349649,0.04438879728299658,-0.008695652173913049,"Same observations, outcomes, folds, capacity and penalty",Named model minus reference; negative Brier/log loss/no-new-tally fraction favors named model,300,300,20260908,"County-cluster percentile bootstrap with training scaling and all cross-validation fits repeated; fixed original county-fold assignment, fixed model set and lambda; excludes model-choice and snapshot-selection uncertainty",All eligible pairs
Seedling count and design,Observation design,average_precision,0.0864763849358049,0.1999012762167045,0.13471732375228368,"Same observations, outcomes, folds, capacity and penalty",Named model minus reference; negative Brier/log loss/no-new-tally fraction favors named model,300,300,20260908,"County-cluster percentile bootstrap with training scaling and all cross-validation fits repeated; fixed original county-fold assignment, fixed model set and lambda; excludes model-choice and snapshot-selection uncertainty",All eligible pairs
Seedling count and design,Observation design,brier_score,-0.011816424213902707,-0.002082734878896787,-0.008164148122256909,"Same observations, outcomes, folds, capacity and penalty",Named model minus reference; negative Brier/log loss/no-new-tally fraction favors named model,300,300,20260908,"County-cluster percentile bootstrap with training scaling and all cross-validation fits repeated; fixed original county-fold assignment, fixed model set and lambda; excludes model-choice and snapshot-selection uncertainty",All eligible pairs
