model,observations,events,event_fraction,brier_score,log_loss,roc_auc,average_precision,calibration_intercept,calibration_slope,mean_predicted_probability,observed_expected_ratio,top_capacity,top_events,top_recruitment_fraction,top_no_new_tally_fraction,top_event_capture_fraction,cutoff_tied_weight,cutoff_tied_selected_weight,tie_neutral_expected_top_events,population,sensitivity,lambda
Prevalence,914,100,0.10940919037199125,0.09781713735257705,0.34716957286750644,NA,NA,NA,NA,0.10939668169205168,1.000114342407339,228,14,0.06140350877192982,0.9385964912280702,0.14,184,46,16,All eligible pairs,Exact mapped overlap,1
Observation design,914,100,0.10940919037199125,0.09660082960204028,0.3408447060121386,0.578022113022113,0.1290542688294673,-0.6061495291027604,0.7026584112875557,0.10941462163730184,0.9999503606992436,228,33,0.14473684210526316,0.8552631578947368,0.33,15,14,32.8,All eligible pairs,Exact mapped overlap,1
Seedling count and design,914,100,0.10940919037199125,0.08829437898340659,0.2902407262835651,0.7959520884520884,0.26450887358528435,-0.06943718781999869,0.9631709756909381,0.11017997214946307,0.99300433860678206,228,59,0.25877192982456143,0.7412280701754386,0.59,1,1,59,All eligible pairs,Exact mapped overlap,1
Maple stages and design,914,100,0.10940919037199125,0.0865949764628459,0.2831766807094232,0.8055405405405406,0.3032684216330463,-0.1020036459356867,0.945054610548243,0.11074065816736373,0.9879767032505783,228,58,0.2543859649122807,0.7456140350877193,0.58,1,1,58,All eligible pairs,Exact mapped overlap,1
Prevalence,787,92,0.11689961880559085,0.10392382026548998,0.3639455302492612,NA,NA,NA,NA,0.11682730324568986,1.0006189953708757,196,11,0.05612244897959184,0.9438775510204082,0.11956521739130435,158,41,12.411392405063292,All eligible pairs,Follow-up manual >=9,1
Observation design,787,92,0.11689961880559085,0.10231540520842128,0.3566805773470693,0.5768063809821707,0.13446301040989372,-0.7934077892527617,0.591666630254009,0.1162932746540448,1.0052139227599346,196,30,0.15306122448979592,0.846938775510204,0.32608695652173914,9,9,30,All eligible pairs,Follow-up manual >=9,1
Seedling count and design,787,92,0.11689961880559085,0.09287898069141871,0.3014891558597624,0.7982483578354708,0.27788675292141546,-0.1021652825107058,0.9328393138568365,0.11663253768419493,1.0022899366394573,196,56,0.2857142857142857,0.7142857142857143,0.6086956521739131,1,1,56,All eligible pairs,Follow-up manual >=9,1
Maple stages and design,787,92,0.11689961880559085,0.09045525283465514,0.2937178202567443,0.8094463559587113,0.32347260906331526,-0.13390977045427485,0.9132325408659867,0.11730041454348747,0.9965831686149069,196,55,0.28061224489795916,0.7193877551020409,0.5978260869565217,1,1,55,All eligible pairs,Follow-up manual >=9,1
Prevalence,922,100,0.10845986984815618,0.09707683568345628,0.34519718212259537,NA,NA,NA,NA,0.10846746335115905,0.9999299928036642,230,14,0.06086956521739131,0.9391304347826087,0.14,184,45,15.891304347826086,All eligible pairs,Ridge lambda 4,4
Observation design,922,100,0.10845986984815618,0.09580305397760512,0.33822484646661943,0.5811922141119221,0.12835408853668437,-0.4544452481230013,0.7784239342735364,0.10851216398804545,0.9995180803887108,230,33,0.14347826086956522,0.8565217391304347,0.33,10,1,33,All eligible pairs,Ridge lambda 4,4
Seedling count and design,922,100,0.10845986984815618,0.08736527084840641,0.2883425367366828,0.7965389294403893,0.2634419460399028,0.03370165645241806,1.025013792747038,0.1091456927487695,0.9937164455752557,230,60,0.2608695652173913,0.7391304347826086,0.6,1,1,60,All eligible pairs,Ridge lambda 4,4
