baseline_measyear,baseline_manual,baseline_measmon,annual_ri_guide_reviewed,baseline_ri_available,conditions,events
2012,5.1,6,FALSE,TRUE,2,0
2012,5.1,7,FALSE,TRUE,4,1
2012,5.1,8,FALSE,TRUE,2,1
2013,6,6,FALSE,TRUE,8,1
2013,6,7,FALSE,TRUE,10,2
2013,6,8,FALSE,TRUE,5,1
2013,6,9,FALSE,TRUE,2,0
2014,6,6,FALSE,TRUE,1,0
2014,6,7,FALSE,TRUE,1,0
2014,6,8,FALSE,TRUE,2,1
2015,6,5,FALSE,TRUE,3,0
2015,6,6,FALSE,TRUE,3,0
2015,6,7,FALSE,TRUE,2,0
2015,6,8,FALSE,TRUE,7,3
2015,6,9,FALSE,TRUE,1,0
2016,7,6,TRUE,TRUE,1,0
2016,7,7,TRUE,TRUE,3,0
2016,7,8,TRUE,TRUE,6,1
2016,7,9,TRUE,TRUE,1,0
2017,7,6,TRUE,TRUE,2,0
2017,7,7,TRUE,TRUE,4,1
2017,7,8,TRUE,TRUE,2,0
2017,7,9,TRUE,TRUE,1,0
2018,7,5,TRUE,TRUE,1,0
2018,7,6,TRUE,TRUE,5,0
2018,7,8,TRUE,TRUE,7,1
2018,7,9,TRUE,TRUE,4,1
