observations,target_total,target_prevalence,requested_fraction,capacity,realized_fraction,expected_targets,expected_non_targets,selected_target_fraction,target_capture_fraction,random_expected_targets,extra_targets_vs_random,deterministic_targets,deterministic_selected_physical_plots,minimum_targets_over_cutoff_ties,maximum_targets_over_cutoff_ties,cutoff_score,cutoff_tied_mass,cutoff_tied_selected,tie_rule,objective,policy,population,assessment,limitation
922,822,0.8915401301518439,0.1,92,0.09978308026030369,82.02169197396964,9.978308026030362,0.8915401301518439,0.09978308026030369,82.02169197396964,0,NA,NA,0,92,0,922,92,Expected uniform allocation within cutoff ties; deterministic source-key ordering also retained,No recorded entry,Random expectation,All eligible pairs,County held out; common seven-year scoring interval,Observed outcomes retain their actual variable intervals; no seven-year probability validation
922,822,0.8915401301518439,0.1,92,0.09978308026030369,92,0,1,0.11192214111922141,82.02169197396964,9.978308026030362,92,90,92,92,-0,250,92,Expected uniform allocation within cutoff ties; deterministic source-key ordering also retained,No recorded entry,Raw seedling count,All eligible pairs,County held out; common seven-year scoring interval,Observed outcomes retain their actual variable intervals; no seven-year probability validation
922,822,0.8915401301518439,0.1,92,0.09978308026030369,92,0,1,0.11192214111922141,82.02169197396964,9.978308026030362,92,90,92,92,-0,250,92,Expected uniform allocation within cutoff ties; deterministic source-key ordering also retained,No recorded entry,Count per sampled coverage,All eligible pairs,County held out; common seven-year scoring interval,Observed outcomes retain their actual variable intervals; no seven-year probability validation
922,822,0.8915401301518439,0.1,92,0.09978308026030369,88.3718309859155,3.6281690140845058,0.9605633802816902,0.10750831020184366,82.02169197396964,6.350139011945856,89,89,78,92,-0,355,92,Expected uniform allocation within cutoff ties; deterministic source-key ordering also retained,No recorded entry,Sapling presence,All eligible pairs,County held out; common seven-year scoring interval,Observed outcomes retain their actual variable intervals; no seven-year probability validation
922,822,0.8915401301518439,0.1,92,0.09978308026030369,92,0,1,0.11192214111922141,82.02169197396964,9.978308026030362,92,89,92,92,-0.014796485521038684,29,27,Expected uniform allocation within cutoff ties; deterministic source-key ordering also retained,No recorded entry,Count model,All eligible pairs,County held out; common seven-year scoring interval,Observed outcomes retain their actual variable intervals; no seven-year probability validation
922,822,0.8915401301518439,0.1,92,0.09978308026030369,92,0,1,0.11192214111922141,82.02169197396964,9.978308026030362,92,88,92,92,-0.00815289164457576,1,1,Expected uniform allocation within cutoff ties; deterministic source-key ordering also retained,No recorded entry,Maple-stage model,All eligible pairs,County held out; common seven-year scoring interval,Observed outcomes retain their actual variable intervals; no seven-year probability validation
922,822,0.8915401301518439,0.25,230,0.24945770065075923,205.05422993492408,24.94577006507592,0.8915401301518439,0.24945770065075923,205.05422993492408,0,NA,NA,130,230,0,922,230,Expected uniform allocation within cutoff ties; deterministic source-key ordering also retained,No recorded entry,Random expectation,All eligible pairs,County held out; common seven-year scoring interval,Observed outcomes retain their actual variable intervals; no seven-year probability validation
922,822,0.8915401301518439,0.25,230,0.24945770065075923,230,0,1,0.2798053527980535,205.05422993492408,24.94577006507592,230,223,230,230,-0,250,230,Expected uniform allocation within cutoff ties; deterministic source-key ordering also retained,No recorded entry,Raw seedling count,All eligible pairs,County held out; common seven-year scoring interval,Observed outcomes retain their actual variable intervals; no seven-year probability validation
922,822,0.8915401301518439,0.25,230,0.24945770065075923,230,0,1,0.2798053527980535,205.05422993492408,24.94577006507592,230,223,230,230,-0,250,230,Expected uniform allocation within cutoff ties; deterministic source-key ordering also retained,No recorded entry,Count per sampled coverage,All eligible pairs,County held out; common seven-year scoring interval,Observed outcomes retain their actual variable intervals; no seven-year probability validation
922,822,0.8915401301518439,0.25,230,0.24945770065075923,220.92957746478874,9.070422535211264,0.9605633802816902,0.26877077550460915,205.05422993492408,15.875347529864655,219,223,216,230,-0,355,230,Expected uniform allocation within cutoff ties; deterministic source-key ordering also retained,No recorded entry,Sapling presence,All eligible pairs,County held out; common seven-year scoring interval,Observed outcomes retain their actual variable intervals; no seven-year probability validation
922,822,0.8915401301518439,0.25,230,0.24945770065075923,230,0,1,0.2798053527980535,205.05422993492408,24.94577006507592,230,222,230,230,-0.021083561517365103,5,4,Expected uniform allocation within cutoff ties; deterministic source-key ordering also retained,No recorded entry,Count model,All eligible pairs,County held out; common seven-year scoring interval,Observed outcomes retain their actual variable intervals; no seven-year probability validation
922,822,0.8915401301518439,0.25,230,0.24945770065075923,230,0,1,0.2798053527980535,205.05422993492408,24.94577006507592,230,224,230,230,-0.018513193763137953,1,1,Expected uniform allocation within cutoff ties; deterministic source-key ordering also retained,No recorded entry,Maple-stage model,All eligible pairs,County held out; common seven-year scoring interval,Observed outcomes retain their actual variable intervals; no seven-year probability validation
922,822,0.8915401301518439,0.5,461,0.5,411,50,0.8915401301518439,0.5,411,0,NA,NA,361,461,0,922,461,Expected uniform allocation within cutoff ties; deterministic source-key ordering also retained,No recorded entry,Random expectation,All eligible pairs,County held out; common seven-year scoring interval,Observed outcomes retain their actual variable intervals; no seven-year probability validation
922,822,0.8915401301518439,0.5,461,0.5,452,9,0.9804772234273319,0.5498783454987834,411,41,452,447,452,452,-5,21,21,Expected uniform allocation within cutoff ties; deterministic source-key ordering also retained,No recorded entry,Raw seedling count,All eligible pairs,County held out; common seven-year scoring interval,Observed outcomes retain their actual variable intervals; no seven-year probability validation
922,822,0.8915401301518439,0.5,461,0.5,449,12,0.9739696312364425,0.5462287104622872,411,38,449,451,449,449,-6.666666666666667,1,1,Expected uniform allocation within cutoff ties; deterministic source-key ordering also retained,No recorded entry,Count per sampled coverage,All eligible pairs,County held out; common seven-year scoring interval,Observed outcomes retain their actual variable intervals; no seven-year probability validation
922,822,0.8915401301518439,0.5,461,0.5,430.92239858906527,30.077601410934733,0.934755745312506,0.5242364946338993,411,19.922398589065267,434,451,361,447,-1,567,106,Expected uniform allocation within cutoff ties; deterministic source-key ordering also retained,No recorded entry,Sapling presence,All eligible pairs,County held out; common seven-year scoring interval,Observed outcomes retain their actual variable intervals; no seven-year probability validation
922,822,0.8915401301518439,0.5,461,0.5,453,8,0.982646420824295,0.551094890510949,411,42,453,447,453,453,-0.06129854573772147,3,3,Expected uniform allocation within cutoff ties; deterministic source-key ordering also retained,No recorded entry,Count model,All eligible pairs,County held out; common seven-year scoring interval,Observed outcomes retain their actual variable intervals; no seven-year probability validation
922,822,0.8915401301518439,0.5,461,0.5,452,9,0.9804772234273319,0.5498783454987834,411,41,452,448,452,452,-0.0587559017057356,1,1,Expected uniform allocation within cutoff ties; deterministic source-key ordering also retained,No recorded entry,Maple-stage model,All eligible pairs,County held out; common seven-year scoring interval,Observed outcomes retain their actual variable intervals; no seven-year probability validation
922,100,0.10845986984815618,0.1,92,0.09978308026030369,9.97830802603037,82.02169197396964,0.10845986984815618,0.09978308026030369,9.97830802603037,0,NA,NA,0,92,0,922,92,Expected uniform allocation within cutoff ties; deterministic source-key ordering also retained,Recorded entry,Random expectation,All eligible pairs,County held out; common seven-year scoring interval,Observed outcomes retain their actual variable intervals; no seven-year probability validation
922,100,0.10845986984815618,0.1,92,0.09978308026030369,24,68,0.2608695652173913,0.24,9.97830802603037,14.02169197396963,24,92,24,24,69,2,2,Expected uniform allocation within cutoff ties; deterministic source-key ordering also retained,Recorded entry,Raw seedling count,All eligible pairs,County held out; common seven-year scoring interval,Observed outcomes retain their actual variable intervals; no seven-year probability validation
922,100,0.10845986984815618,0.1,92,0.09978308026030369,23,69,0.25,0.23,9.97830802603037,13.02169197396963,23,92,23,23,74,2,2,Expected uniform allocation within cutoff ties; deterministic source-key ordering also retained,Recorded entry,Count per sampled coverage,All eligible pairs,County held out; common seven-year scoring interval,Observed outcomes retain their actual variable intervals; no seven-year probability validation
922,100,0.10845986984815618,0.1,92,0.09978308026030369,13.954144620811288,78.04585537918871,0.15167548500881836,0.13954144620811287,9.97830802603037,3.975836594780919,12,92,0,86,1,567,92,Expected uniform allocation within cutoff ties; deterministic source-key ordering also retained,Recorded entry,Sapling presence,All eligible pairs,County held out; common seven-year scoring interval,Observed outcomes retain their actual variable intervals; no seven-year probability validation
922,100,0.10845986984815618,0.1,92,0.09978308026030369,24,68,0.2608695652173913,0.24,9.97830802603037,14.02169197396963,24,92,24,24,0.28162370180095153,2,1,Expected uniform allocation within cutoff ties; deterministic source-key ordering also retained,Recorded entry,Count model,All eligible pairs,County held out; common seven-year scoring interval,Observed outcomes retain their actual variable intervals; no seven-year probability validation
922,100,0.10845986984815618,0.1,92,0.09978308026030369,28,64,0.30434782608695654,0.28,9.97830802603037,18.02169197396963,28,92,28,28,0.2898767738710878,1,1,Expected uniform allocation within cutoff ties; deterministic source-key ordering also retained,Recorded entry,Maple-stage model,All eligible pairs,County held out; common seven-year scoring interval,Observed outcomes retain their actual variable intervals; no seven-year probability validation
922,100,0.10845986984815618,0.25,230,0.24945770065075923,24.945770065075923,205.05422993492408,0.10845986984815618,0.24945770065075923,24.945770065075923,0,NA,NA,0,100,0,922,230,Expected uniform allocation within cutoff ties; deterministic source-key ordering also retained,Recorded entry,Random expectation,All eligible pairs,County held out; common seven-year scoring interval,Observed outcomes retain their actual variable intervals; no seven-year probability validation
922,100,0.10845986984815618,0.25,230,0.24945770065075923,63,167,0.27391304347826084,0.63,24.945770065075923,38.05422993492408,63,229,63,63,29,5,5,Expected uniform allocation within cutoff ties; deterministic source-key ordering also retained,Recorded entry,Raw seedling count,All eligible pairs,County held out; common seven-year scoring interval,Observed outcomes retain their actual variable intervals; no seven-year probability validation
