objective,requested_fraction,policy,reference,capacity,target_fraction_difference,expected_target_difference,direction,lower,upper,uncertainty_scope,population
No recorded entry,0.1,Count model,Raw seedling count,92,0,0,Named policy minus reference; positive means greater capture of the stated proxy,-0.02762657023220399,0,"300 whole-county resamples with all training scaling and county-held-out model fits repeated; fixed original folds, policies and model set; tie expectations recomputed; not survey-design uncertainty or external validation",All eligible pairs
No recorded entry,0.25,Count model,Raw seedling count,230,0,0,Named policy minus reference; positive means greater capture of the stated proxy,-0.0246856351236147,6.242511264037695e-4,"300 whole-county resamples with all training scaling and county-held-out model fits repeated; fixed original folds, policies and model set; tie expectations recomputed; not survey-design uncertainty or external validation",All eligible pairs
No recorded entry,0.5,Count model,Raw seedling count,461,0,0,Named policy minus reference; positive means greater capture of the stated proxy,-0.013336801133888264,0.00526139517126223,"300 whole-county resamples with all training scaling and county-held-out model fits repeated; fixed original folds, policies and model set; tie expectations recomputed; not survey-design uncertainty or external validation",All eligible pairs
Recorded entry,0.1,Count model,Raw seedling count,92,0.010869565217391297,1,Named policy minus reference; positive means greater capture of the stated proxy,-0.09588994565217392,0.04857183257918552,"300 whole-county resamples with all training scaling and county-held-out model fits repeated; fixed original folds, policies and model set; tie expectations recomputed; not survey-design uncertainty or external validation",All eligible pairs
Recorded entry,0.25,Count model,Raw seedling count,230,-0.013043478260869545,-3,Named policy minus reference; positive means greater capture of the stated proxy,-0.046039096067168425,0.018501349645173915,"300 whole-county resamples with all training scaling and county-held-out model fits repeated; fixed original folds, policies and model set; tie expectations recomputed; not survey-design uncertainty or external validation",All eligible pairs
Recorded entry,0.5,Count model,Raw seedling count,461,0,0,Named policy minus reference; positive means greater capture of the stated proxy,-0.01333680113388818,0.00521318715391372,"300 whole-county resamples with all training scaling and county-held-out model fits repeated; fixed original folds, policies and model set; tie expectations recomputed; not survey-design uncertainty or external validation",All eligible pairs
No recorded entry,0.1,Maple-stage model,Raw seedling count,92,0,0,Named policy minus reference; positive means greater capture of the stated proxy,-0.012644230769230717,0,"300 whole-county resamples with all training scaling and county-held-out model fits repeated; fixed original folds, policies and model set; tie expectations recomputed; not survey-design uncertainty or external validation",All eligible pairs
No recorded entry,0.25,Maple-stage model,Raw seedling count,230,0,0,Named policy minus reference; positive means greater capture of the stated proxy,-0.018195686809467815,0.001165585486757919,"300 whole-county resamples with all training scaling and county-held-out model fits repeated; fixed original folds, policies and model set; tie expectations recomputed; not survey-design uncertainty or external validation",All eligible pairs
No recorded entry,0.5,Maple-stage model,Raw seedling count,461,0.004338394793926281,2,Named policy minus reference; positive means greater capture of the stated proxy,-0.014541636391863514,0.00986325229056774,"300 whole-county resamples with all training scaling and county-held-out model fits repeated; fixed original folds, policies and model set; tie expectations recomputed; not survey-design uncertainty or external validation",All eligible pairs
Recorded entry,0.1,Maple-stage model,Raw seedling count,92,0.043478260869565244,4,Named policy minus reference; positive means greater capture of the stated proxy,-0.06516047297297295,0.1095890410958904,"300 whole-county resamples with all training scaling and county-held-out model fits repeated; fixed original folds, policies and model set; tie expectations recomputed; not survey-design uncertainty or external validation",All eligible pairs
