observations,target_total,target_prevalence,requested_fraction,capacity,realized_fraction,expected_targets,expected_non_targets,selected_target_fraction,target_capture_fraction,random_expected_targets,extra_targets_vs_random,deterministic_targets,deterministic_selected_physical_plots,minimum_targets_over_cutoff_ties,maximum_targets_over_cutoff_ties,cutoff_score,cutoff_tied_mass,cutoff_tied_selected,tie_rule,objective,policy,lower,upper,uncertainty_scope,population,assessment
922,822,0.8915401301518439,0.1,92,0.09978308026030369,82.02169197396964,9.978308026030362,0.8915401301518439,0.09978308026030369,82.02169197396964,0,NA,NA,0,92,0,922,92,Expected uniform allocation within cutoff ties; deterministic source-key ordering also retained,No recorded entry,Random expectation,0.8708383084270908,0.9169746611266263,"300 whole-county resamples with all training scaling and county-held-out model fits repeated; fixed original folds, policies and model set; tie expectations recomputed; not survey-design uncertainty or external validation",All eligible pairs,County held out; realized interval
922,822,0.8915401301518439,0.1,92,0.09978308026030369,92,0,1,0.11192214111922141,82.02169197396964,9.978308026030362,92,90,92,92,-0,250,92,Expected uniform allocation within cutoff ties; deterministic source-key ordering also retained,No recorded entry,Raw seedling count,1,1,"300 whole-county resamples with all training scaling and county-held-out model fits repeated; fixed original folds, policies and model set; tie expectations recomputed; not survey-design uncertainty or external validation",All eligible pairs,County held out; realized interval
922,822,0.8915401301518439,0.1,92,0.09978308026030369,92,0,1,0.11192214111922141,82.02169197396964,9.978308026030362,92,90,92,92,-0,250,92,Expected uniform allocation within cutoff ties; deterministic source-key ordering also retained,No recorded entry,Count per sampled coverage,1,1,"300 whole-county resamples with all training scaling and county-held-out model fits repeated; fixed original folds, policies and model set; tie expectations recomputed; not survey-design uncertainty or external validation",All eligible pairs,County held out; realized interval
922,822,0.8915401301518439,0.1,92,0.09978308026030369,88.3718309859155,3.6281690140845058,0.9605633802816902,0.10750831020184366,82.02169197396964,6.350139011945856,89,89,78,92,-0,355,92,Expected uniform allocation within cutoff ties; deterministic source-key ordering also retained,No recorded entry,Sapling presence,0.9456133868243243,0.9783280443201376,"300 whole-county resamples with all training scaling and county-held-out model fits repeated; fixed original folds, policies and model set; tie expectations recomputed; not survey-design uncertainty or external validation",All eligible pairs,County held out; realized interval
922,822,0.8915401301518439,0.1,92,0.09978308026030369,92,0,1,0.11192214111922141,82.02169197396964,9.978308026030362,92,89,92,92,-0.014832676731452934,1,1,Expected uniform allocation within cutoff ties; deterministic source-key ordering also retained,No recorded entry,Count model,0.972373429767796,1,"300 whole-county resamples with all training scaling and county-held-out model fits repeated; fixed original folds, policies and model set; tie expectations recomputed; not survey-design uncertainty or external validation",All eligible pairs,County held out; realized interval
922,822,0.8915401301518439,0.1,92,0.09978308026030369,92,0,1,0.11192214111922141,82.02169197396964,9.978308026030362,92,89,92,92,-0.007583687762051713,1,1,Expected uniform allocation within cutoff ties; deterministic source-key ordering also retained,No recorded entry,Maple-stage model,0.9873557692307693,1,"300 whole-county resamples with all training scaling and county-held-out model fits repeated; fixed original folds, policies and model set; tie expectations recomputed; not survey-design uncertainty or external validation",All eligible pairs,County held out; realized interval
922,822,0.8915401301518439,0.25,230,0.24945770065075923,205.05422993492408,24.94577006507592,0.8915401301518439,0.24945770065075923,205.05422993492408,0,NA,NA,130,230,0,922,230,Expected uniform allocation within cutoff ties; deterministic source-key ordering also retained,No recorded entry,Random expectation,0.8708383084270908,0.9169746611266263,"300 whole-county resamples with all training scaling and county-held-out model fits repeated; fixed original folds, policies and model set; tie expectations recomputed; not survey-design uncertainty or external validation",All eligible pairs,County held out; realized interval
922,822,0.8915401301518439,0.25,230,0.24945770065075923,230,0,1,0.2798053527980535,205.05422993492408,24.94577006507592,230,223,230,230,-0,250,230,Expected uniform allocation within cutoff ties; deterministic source-key ordering also retained,No recorded entry,Raw seedling count,0.9975662734101366,1,"300 whole-county resamples with all training scaling and county-held-out model fits repeated; fixed original folds, policies and model set; tie expectations recomputed; not survey-design uncertainty or external validation",All eligible pairs,County held out; realized interval
922,822,0.8915401301518439,0.25,230,0.24945770065075923,230,0,1,0.2798053527980535,205.05422993492408,24.94577006507592,230,223,230,230,-0,250,230,Expected uniform allocation within cutoff ties; deterministic source-key ordering also retained,No recorded entry,Count per sampled coverage,0.9964539007092199,1,"300 whole-county resamples with all training scaling and county-held-out model fits repeated; fixed original folds, policies and model set; tie expectations recomputed; not survey-design uncertainty or external validation",All eligible pairs,County held out; realized interval
922,822,0.8915401301518439,0.25,230,0.24945770065075923,220.92957746478874,9.070422535211264,0.9605633802816902,0.26877077550460915,205.05422993492408,15.875347529864655,219,223,216,230,-0,355,230,Expected uniform allocation within cutoff ties; deterministic source-key ordering also retained,No recorded entry,Sapling presence,0.9456133868243244,0.9783280443201378,"300 whole-county resamples with all training scaling and county-held-out model fits repeated; fixed original folds, policies and model set; tie expectations recomputed; not survey-design uncertainty or external validation",All eligible pairs,County held out; realized interval
