observations,target_total,target_prevalence,requested_fraction,capacity,realized_fraction,expected_targets,expected_non_targets,selected_target_fraction,target_capture_fraction,random_expected_targets,extra_targets_vs_random,deterministic_targets,deterministic_selected_physical_plots,minimum_targets_over_cutoff_ties,maximum_targets_over_cutoff_ties,cutoff_score,cutoff_tied_mass,cutoff_tied_selected,tie_rule,objective,policy,population,assessment,limitation
375,334,0.8906666666666667,0.1,37,0.09866666666666667,32.95466666666667,4.045333333333332,0.8906666666666667,0.09866666666666667,32.95466666666667,0,NA,NA,0,37,0,375,37,Expected uniform allocation within cutoff ties; deterministic source-key ordering also retained,No recorded entry,Random expectation,All eligible pairs,Temporal test; common seven-year scoring interval,Observed outcomes retain their actual variable intervals; no seven-year probability validation
375,334,0.8906666666666667,0.1,37,0.09866666666666667,37,0,1,0.11077844311377245,32.95466666666667,4.045333333333332,37,36,37,37,-0,100,37,Expected uniform allocation within cutoff ties; deterministic source-key ordering also retained,No recorded entry,Raw seedling count,All eligible pairs,Temporal test; common seven-year scoring interval,Observed outcomes retain their actual variable intervals; no seven-year probability validation
375,334,0.8906666666666667,0.1,37,0.09866666666666667,37,0,1,0.11077844311377245,32.95466666666667,4.045333333333332,37,36,37,37,-0,100,37,Expected uniform allocation within cutoff ties; deterministic source-key ordering also retained,No recorded entry,Count per sampled coverage,All eligible pairs,Temporal test; common seven-year scoring interval,Observed outcomes retain their actual variable intervals; no seven-year probability validation
375,334,0.8906666666666667,0.1,37,0.09866666666666667,35.52980132450331,1.4701986754966896,0.9602649006622517,0.1063766506721656,32.95466666666667,2.5751346578366423,37,35,31,37,-0,151,37,Expected uniform allocation within cutoff ties; deterministic source-key ordering also retained,No recorded entry,Sapling presence,All eligible pairs,Temporal test; common seven-year scoring interval,Observed outcomes retain their actual variable intervals; no seven-year probability validation
375,334,0.8906666666666667,0.1,37,0.09866666666666667,37,0,1,0.11077844311377245,32.95466666666667,4.045333333333332,37,36,37,37,-0.01571115478574158,17,6,Expected uniform allocation within cutoff ties; deterministic source-key ordering also retained,No recorded entry,Count model,All eligible pairs,Temporal test; common seven-year scoring interval,Observed outcomes retain their actual variable intervals; no seven-year probability validation
375,334,0.8906666666666667,0.1,37,0.09866666666666667,37,0,1,0.11077844311377245,32.95466666666667,4.045333333333332,37,37,37,37,-0.0069854529197915845,1,1,Expected uniform allocation within cutoff ties; deterministic source-key ordering also retained,No recorded entry,Maple-stage model,All eligible pairs,Temporal test; common seven-year scoring interval,Observed outcomes retain their actual variable intervals; no seven-year probability validation
375,334,0.8906666666666667,0.25,93,0.248,82.832,10.168000000000006,0.8906666666666666,0.24799999999999997,82.832,0,NA,NA,52,93,0,375,93,Expected uniform allocation within cutoff ties; deterministic source-key ordering also retained,No recorded entry,Random expectation,All eligible pairs,Temporal test; common seven-year scoring interval,Observed outcomes retain their actual variable intervals; no seven-year probability validation
375,334,0.8906666666666667,0.25,93,0.248,93,0,1,0.27844311377245506,82.832,10.168000000000006,93,91,93,93,-0,100,93,Expected uniform allocation within cutoff ties; deterministic source-key ordering also retained,No recorded entry,Raw seedling count,All eligible pairs,Temporal test; common seven-year scoring interval,Observed outcomes retain their actual variable intervals; no seven-year probability validation
375,334,0.8906666666666667,0.25,93,0.248,93,0,1,0.27844311377245506,82.832,10.168000000000006,93,91,93,93,-0,100,93,Expected uniform allocation within cutoff ties; deterministic source-key ordering also retained,No recorded entry,Count per sampled coverage,All eligible pairs,Temporal test; common seven-year scoring interval,Observed outcomes retain their actual variable intervals; no seven-year probability validation
375,334,0.8906666666666667,0.25,93,0.248,89.30463576158941,3.6953642384105905,0.9602649006622517,0.26737914898679466,82.832,6.472635761589416,89,89,87,93,-0,151,93,Expected uniform allocation within cutoff ties; deterministic source-key ordering also retained,No recorded entry,Sapling presence,All eligible pairs,Temporal test; common seven-year scoring interval,Observed outcomes retain their actual variable intervals; no seven-year probability validation
375,334,0.8906666666666667,0.25,93,0.248,93,0,1,0.27844311377245506,82.832,10.168000000000006,93,91,93,93,-0.017642585092549526,49,42,Expected uniform allocation within cutoff ties; deterministic source-key ordering also retained,No recorded entry,Count model,All eligible pairs,Temporal test; common seven-year scoring interval,Observed outcomes retain their actual variable intervals; no seven-year probability validation
375,334,0.8906666666666667,0.25,93,0.248,93,0,1,0.27844311377245506,82.832,10.168000000000006,93,90,93,93,-0.01697415799080496,1,1,Expected uniform allocation within cutoff ties; deterministic source-key ordering also retained,No recorded entry,Maple-stage model,All eligible pairs,Temporal test; common seven-year scoring interval,Observed outcomes retain their actual variable intervals; no seven-year probability validation
375,334,0.8906666666666667,0.5,187,0.49866666666666665,166.55466666666666,20.445333333333338,0.8906666666666666,0.49866666666666665,166.55466666666666,0,NA,NA,146,187,0,375,187,Expected uniform allocation within cutoff ties; deterministic source-key ordering also retained,No recorded entry,Random expectation,All eligible pairs,Temporal test; common seven-year scoring interval,Observed outcomes retain their actual variable intervals; no seven-year probability validation
375,334,0.8906666666666667,0.5,187,0.49866666666666665,182.6,4.400000000000006,0.9764705882352941,0.5467065868263473,166.55466666666666,16.045333333333332,182,183,182,183,-5,10,4,Expected uniform allocation within cutoff ties; deterministic source-key ordering also retained,No recorded entry,Raw seedling count,All eligible pairs,Temporal test; common seven-year scoring interval,Observed outcomes retain their actual variable intervals; no seven-year probability validation
375,334,0.8906666666666667,0.5,187,0.49866666666666665,181.6,5.400000000000006,0.9711229946524064,0.5437125748502993,166.55466666666666,15.045333333333332,182,183,180,182,-6,10,2,Expected uniform allocation within cutoff ties; deterministic source-key ordering also retained,No recorded entry,Count per sampled coverage,All eligible pairs,Temporal test; common seven-year scoring interval,Observed outcomes retain their actual variable intervals; no seven-year probability validation
375,334,0.8906666666666667,0.5,187,0.49866666666666665,175.375,11.625,0.9378342245989305,0.5250748502994012,166.55466666666666,8.820333333333338,176,183,146,181,-1,224,36,Expected uniform allocation within cutoff ties; deterministic source-key ordering also retained,No recorded entry,Sapling presence,All eligible pairs,Temporal test; common seven-year scoring interval,Observed outcomes retain their actual variable intervals; no seven-year probability validation
375,334,0.8906666666666667,0.5,187,0.49866666666666665,183,4,0.9786096256684492,0.5479041916167665,166.55466666666666,16.445333333333338,183,183,183,183,-0.05325880920362813,1,1,Expected uniform allocation within cutoff ties; deterministic source-key ordering also retained,No recorded entry,Count model,All eligible pairs,Temporal test; common seven-year scoring interval,Observed outcomes retain their actual variable intervals; no seven-year probability validation
